#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
3HeI  alpha  1  2466932411.889439
3HeI  alpha  2  456839335.5350813
3HeI  alpha  3  159893767.43727842
3HeI  alpha  4  74007972.35668316
3HeI  alpha  5  40201861.52708716
3HeI  alpha  6  24240454.53859615
3HeI  alpha  7  15732987.320723457
3HeI  alpha  8  10786484.311244978
3HeI  alpha  9  7715508.7779258145
3HeI  alpha  10  5708603.928339197
3HeI  alpha  11  4341861.453432593
3HeI  alpha  12  3378989.1681588846
3HeI  alpha  13  2681124.466490153
3HeI  alpha  14  2162994.4049824243
3HeI  alpha  15  1770252.42519844
3HeI  alpha  16  1467141.897209333
3HeI  alpha  17  1229479.1806019114
3HeI  alpha  18  1040508.1818896891
3HeI  alpha  19  888369.0125917646
3HeI  alpha  20  764506.6431403401
3HeI  alpha  21  662644.3389444593
3HeI  alpha  22  578105.9878820414
3HeI  alpha  23  507359.3754761068
3HeI  alpha  24  447702.5488243791
3HeI  alpha  25  397044.74321534205
3HeI  alpha  26  353750.9647652761
3HeI  alpha  27  316530.1518572622
3HeI  alpha  28  284353.6352853706
3HeI  alpha  29  256394.96596023554
3HeI  alpha  30  231985.01117702326
3HeI  alpha  31  210578.09512258673
3HeI  alpha  32  191726.219071412
3HeI  alpha  33  175059.25523092123
3HeI  alpha  34  160269.60094190267
3HeI  alpha  35  147100.19420857518
3HeI  alpha  36  135335.08438463148
3HeI  alpha  37  124791.96108779078
3HeI  alpha  38  115316.19543412031
3HeI  alpha  39  106776.05771382085
3HeI  alpha  40  99058.85651548902
3HeI  alpha  41  92067.804269596
3HeI  alpha  42  85719.45899158259
3HeI  alpha  43  79941.62574453223
3HeI  alpha  44  74671.62692859916
3HeI  alpha  45  69854.87004191118
3HeI  alpha  46  65443.65657297537
3HeI  alpha  47  61396.187296051336
3HeI  alpha  48  57675.728273249144
3HeI  alpha  49  54249.90893284563
3HeI  alpha  50  51090.1291504977
3HeI  alpha  51  48171.05665333781
3HeI  alpha  52  45470.19955728217
3HeI  alpha  53  42967.54163403686
3HeI  alpha  54  40645.23013841335
3HeI  alpha  55  38487.307825902186
3HeI  alpha  56  36479.482245649924
3HeI  alpha  57  34608.92657569272
3HeI  alpha  58  32864.10723055025
3HeI  alpha  59  31234.634259508628
3HeI  alpha  60  29711.131201152908
3HeI  alpha  61  28285.12159310291
3HeI  alpha  62  26948.929776893005
3HeI  alpha  63  25695.59400375368
3HeI  alpha  64  24518.79015145292
3HeI  alpha  65  23412.76461640008
3HeI  alpha  66  22372.275157884815
3HeI  alpha  67  21392.538649845497
3HeI  alpha  68  20469.18484582987
3HeI  alpha  69  19598.215389645797
3HeI  alpha  70  18775.967411520036
3HeI  alpha  71  17999.08114062376
3HeI  alpha  72  17264.471042249574
3HeI  alpha  73  16569.300053908297
3HeI  alpha  74  15910.956550995365
3HeI  alpha  75  15287.033720952331
3HeI  alpha  76  14695.311066264921
3HeI  alpha  77  14133.737792265156
3HeI  alpha  78  13600.417866391837
3HeI  alpha  79  13093.596562063372
3HeI  alpha  80  12611.648323242125
3HeI  alpha  81  12153.06580563013
3HeI  alpha  82  11716.44996769284
3HeI  alpha  83  11300.50109970616
3HeI  alpha  84  10904.010692102049
3HeI  alpha  85  10525.8540557936
3HeI  alpha  86  10164.983617145517
3HeI  alpha  87  9820.422818987541
3HeI  alpha  88  9491.260566735293
3HeI  alpha  89  9176.646165414495
3HeI  alpha  90  8875.784699308984
3HeI  alpha  91  8587.932811168814
3HeI  alpha  92  8312.394842524853
3HeI  alpha  93  8048.51930071899
3HeI  alpha  94  7795.69562186597
3HeI  alpha  95  7553.351202146865
3HeI  alpha  96  7320.948672669636
3HeI  alpha  97  7097.98339564265
3HeI  alpha  98  6883.981161844582
3HeI  alpha  99  6678.496071366825
3HeI  alpha  100  6481.108581378036
3HeI  alpha  101  6291.423706246388
3HeI  alpha  102  6109.069356773979
3HeI  alpha  103  5933.694806560474
3HeI  alpha  104  5764.969274654738
3HeI  alpha  105  5602.580614665804
3HeI  alpha  106  5446.2341014220065
3HeI  alpha  107  5295.651307087209
3HeI  alpha  108  5150.56905938167
3HeI  alpha  109  5010.7384752216685
3HeI  alpha  110  4875.924063689053
3HeI  alpha  111  4745.902892786495
3HeI  alpha  112  4620.463814919947
3HeI  alpha  113  4499.406746492534
3HeI  alpha  114  4382.541997393668
3HeI  alpha  115  4269.689646529512
3HeI  alpha  116  4160.678959867955
3HeI  alpha  117  4055.3478477696076
3HeI  alpha  118  3953.5423586458055
3HeI  alpha  119  3855.116206231352
3HeI  alpha  120  3759.930327981531
3HeI  alpha  121  3667.852472306696
3HeI  alpha  122  3578.7568125439066
3HeI  alpha  123  3492.523585731821
