#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  alpha  1  2467268326.44
CI  alpha  2  456901541.934
CI  alpha  3  159915539.677
CI  alpha  4  74018049.7933
CI  alpha  5  40207335.6902
CI  alpha  6  24243755.2863
CI  alpha  7  15735129.6329
CI  alpha  8  10787953.0734
CI  alpha  9  7716559.37488
CI  alpha  10  5709381.25127
CI  alpha  11  4342452.67127
CI  alpha  12  3379449.27466
CI  alpha  13  2681489.54691
CI  alpha  14  2163288.93324
CI  alpha  15  1770493.47499
CI  alpha  16  1467341.67338
CI  alpha  17  1229646.59498
CI  alpha  18  1040649.86467
CI  alpha  19  888489.979052
CI  alpha  20  764610.743645
CI  alpha  21  662734.569174
CI  alpha  22  578184.706786
CI  alpha  23  507428.461033
CI  alpha  24  447763.511095
CI  alpha  25  397098.80757
CI  alpha  26  353799.13394
CI  alpha  27  316573.252789
CI  alpha  28  284392.35484
CI  alpha  29  256429.878469
CI  alpha  30  232016.599858
CI  alpha  31  210606.76889
CI  alpha  32  191752.325837
CI  alpha  33  175083.092508
CI  alpha  34  160291.424358
CI  alpha  35  147120.224387
CI  alpha  36  135353.512544
CI  alpha  37  124808.953623
CI  alpha  38  115331.897684
CI  alpha  39  106790.597079
CI  alpha  40  99072.3450535
CI  alpha  41  92080.3408576
CI  alpha  42  85731.1311451
CI  alpha  43  79952.5111484
CI  alpha  44  74681.794733
CI  alpha  45  69864.3819634
CI  alpha  46  65452.5678332
CI  alpha  47  61404.5474249
CI  alpha  48  57683.5817987
CI  alpha  49  54257.2959751
CI  alpha  50  51097.0859353
CI  alpha  51  48177.6159571
CI  alpha  52  45476.3910937
CI  alpha  53  42973.3923912
CI  alpha  54  40650.7646736
CI  alpha  55  38492.5485235
CI  alpha  56  36484.4495439
CI  alpha  57  34613.6391661
CI  alpha  58  32868.5822344
CI  alpha  59  31238.887383
CI  alpha  60  29715.176874
CI  alpha  61  28288.9730906
CI  alpha  62  26952.5993293
CI  alpha  63  25699.0928933
CI  alpha  64  24522.1287992
CI  alpha  65  23415.9526601
CI  alpha  66  22375.3215214
CI  alpha  67  21395.4516056
CI  alpha  68  20471.9720714
CI  alpha  69  19600.884018
CI  alpha  70  18778.5240769
CI  alpha  71  18001.5320198
CI  alpha  72  17266.8218919
CI  alpha  73  16571.5562442
CI  alpha  74  15913.1230967
CI  alpha  75  15289.115309
CI  alpha  76  14697.3120813
CI  alpha  77  14135.6623396
CI  alpha  78  13602.2697932
CI  alpha  79  13095.3794766
CI  alpha  80  12613.3656124
CI  alpha  81  12154.720651
CI  alpha  82  11718.0453604
CI  alpha  83  11302.039854
CI  alpha  84  10905.4954575
CI  alpha  85  10527.2873288
CI  alpha  86  10166.3677515
CI  alpha  87  9821.76003558
CI  alpha  88  9492.55296232
CI  alpha  89  9177.89572093
CI  alpha  90  8876.99328745
CI  alpha  91  8589.10220341
CI  alpha  92  8313.52671561
CI  alpha  93  8049.61524269
CI  alpha  94  7796.75713762
CI  alpha  95  7554.37971861
CI  alpha  96  7321.9455436
CI  alpha  97  7098.94990608
CI  alpha  98  6884.91853226
CI  alpha  99  6679.40546151
CI  alpha  100  6481.99109388
CI  alpha  101  6292.28038995
CI  alpha  102  6109.90120985
CI  alpha  103  5934.50277942
CI  alpha  104  5765.75427268
CI  alpha  105  5603.34350073
CI  alpha  106  5446.97569827
CI  alpha  107  5296.37239954
CI  alpha  108  5151.27039643
CI  alpha  109  5011.42077198
CI  alpha  110  4876.58800318
CI  alpha  111  4746.5491277
CI  alpha  112  4621.09296918
CI  alpha  113  4500.01941679
CI  alpha  114  4383.13875458
CI  alpha  115  4270.27103696
CI  alpha  116  4161.24550665
CI  alpha  117  4055.90005194
CI  alpha  118  3954.08070028
CI  alpha  119  3855.64114548
CI  alpha  120  3760.44230606
CI  alpha  121  3668.35191243
CI  alpha  122  3579.24412079
CI  alpha  123  3492.99915186
CI  alpha  124  3409.50295267
CI  alpha  125  3328.64687965
CI  alpha  126  3250.32740169
CI  alpha  127  3174.44582163
CI  alpha  128  3100.90801502
CI  alpha  129  3029.62418479
CI  alpha  130  2960.50863094
CI  alpha  131  2893.47953409
CI  alpha  132  2828.45875203
CI  alpha  133  2765.37162831
CI  alpha  134  2704.14681221
CI  alpha  135  2644.7160892
CI  alpha  136  2587.01422128
CI  alpha  137  2530.97879657
CI  alpha  138  2476.55008749
CI  alpha  139  2423.67091701
CI  alpha  140  2372.28653252
CI  alpha  141  2322.3444867
CI  alpha  142  2273.79452509
CI  alpha  143  2226.58847986
CI  alpha  144  2180.68016942
CI  alpha  145  2136.02530354
CI  alpha  146  2092.58139356
CI  alpha  147  2050.3076675
CI  alpha  148  2009.16498966
CI  alpha  149  1969.11578453
CI  alpha  150  1930.1239647
CI  alpha  151  1892.15486256
CI  alpha  152  1855.17516555
CI  alpha  153  1819.15285477
CI  alpha  154  1784.05714674
CI  alpha  155  1749.85843816
CI  alpha  156  1716.52825343
CI  alpha  157  1684.03919488
CI  alpha  158  1652.36489544
CI  alpha  159  1621.47997371
CI  alpha  160  1591.35999123
CI  alpha  161  1561.98141186
CI  alpha  162  1533.32156315
CI  alpha  163  1505.3585996
CI  alpha  164  1478.07146766
CI  alpha  165  1451.43987245
CI  alpha  166  1425.44424609
CI  alpha  167  1400.06571741
CI  alpha  168  1375.28608328
CI  alpha  169  1351.0877811
CI  alpha  170  1327.45386272
CI  alpha  171  1304.36796947
CI  alpha  172  1281.81430838
CI  alpha  173  1259.7776295
CI  alpha  174  1238.24320423
CI  alpha  175  1217.19680466
