#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  delta  1  3158103457.85
CI  delta  2  731042467.094
CI  delta  3  298384680.447
CI  delta  4  154204270.403
CI  delta  5  90974173.6828
CI  delta  6  58483397.3675
CI  delta  7  39949023.3325
CI  delta  8  28556346.3709
CI  delta  9  21147842.5721
CI  delta  10  16112772.7441
CI  delta  11  12566680.4261
CI  delta  12  9994721.22981
CI  delta  13  8082613.62853
CI  delta  14  6630770.67659
CI  delta  15  5508131.60802
CI  delta  16  4626128.11208
CI  delta  17  3923397.18234
CI  delta  18  3356485.15654
CI  delta  19  2894019.99866
CI  delta  20  2512958.48064
CI  delta  21  2196111.24809
CI  delta  22  1930475.48648
CI  delta  23  1706089.91364
CI  delta  24  1515234.70539
CI  delta  25  1351863.54914
CI  delta  26  1211194.62004
CI  delta  27  1089412.08596
CI  delta  28  983445.602058
CI  delta  29  890805.573055
CI  delta  30  809458.787094
CI  delta  31  737733.611593
CI  delta  32  674247.06709
CI  delta  33  617848.253797
CI  delta  34  567574.114912
CI  delta  35  522614.588238
CI  delta  36  482284.96093
CI  delta  37  446003.793439
CI  delta  38  413275.180674
CI  delta  39  383674.414135
CI  delta  40  356836.328205
CI  delta  41  332445.777884
CI  delta  42  310229.81899
CI  delta  43  289951.255678
CI  delta  44  271403.291955
CI  delta  45  254405.07902
CI  delta  46  238797.993032
CI  delta  47  224442.511134
CI  delta  48  211215.579666
CI  delta  49  199008.388961
CI  delta  50  187724.485377
CI  delta  51  177278.164116
CI  delta  52  167593.096682
CI  delta  53  158601.155132
CI  delta  54  150241.401907
CI  delta  55  142459.219468
CI  delta  56  135205.558327
CI  delta  57  128436.285657
CI  delta  58  122111.619582
CI  delta  59  116195.636677
CI  delta  60  110655.842187
CI  delta  61  105462.794112
CI  delta  62  100589.773682
CI  delta  63  96012.495874
CI  delta  64  91708.8545864
CI  delta  65  87658.6978585
CI  delta  66  83843.6292164
CI  delta  67  80246.831772
CI  delta  68  76852.9121861
CI  delta  69  73647.7620066
CI  delta  70  70618.4342328
CI  delta  71  67753.0332526
CI  delta  72  65040.6165418
CI  delta  73  62471.1067313
CI  delta  74  60035.2128267
CI  delta  75  57724.3595232
CI  delta  76  55530.6236907
CI  delta  77  53446.6772218
CI  delta  78  51465.7355332
CI  delta  79  49581.5111004
CI  delta  80  47788.1714778
CI  delta  81  46080.3013229
CI  delta  82  44452.8680007
CI  delta  83  42901.1903918
CI  delta  84  41420.9105734
CI  delta  85  40007.9680782
CI  delta  86  38658.5764703
CI  delta  87  37369.2020063
CI  delta  88  36136.5441741
CI  delta  89  34957.5179274
CI  delta  90  33829.2374492
CI  delta  91  32749.0012993
CI  delta  92  31714.2788145
CI  delta  93  30722.6976425
CI  delta  94  29772.0323059
CI  delta  95  28860.1937006
CI  delta  96  27985.2194435
CI  delta  97  27145.2649937
CI  delta  98  26338.5954776
CI  delta  99  25563.5781552
CI  delta  100  24818.6754731
CI  delta  101  24102.4386519
CI  delta  102  23413.5017627
CI  delta  103  22750.5762511
CI  delta  104  22112.4458712
CI  delta  105  21497.961995
CI  delta  106  20906.0392662
CI  delta  107  20335.6515711
CI  delta  108  19785.8282993
CI  delta  109  19255.650872
CI  delta  110  18744.2495169
CI  delta  111  18250.8002682
CI  delta  112  17774.5221775
CI  delta  113  17314.674715
CI  delta  114  16870.5553501
CI  delta  115  16441.4972958
CI  delta  116  16026.8674043
CI  delta  117  15626.0642038
CI  delta  118  15238.5160642
CI  delta  119  14863.6794848
CI  delta  120  14501.0374911
CI  delta  121  14150.0981377
CI  delta  122  13810.393105
CI  delta  123  13481.4763859
CI  delta  124  13162.9230556
CI  delta  125  12854.328118
CI  delta  126  12555.3054231
CI  delta  127  12265.4866524
CI  delta  128  11984.5203648
CI  delta  129  11712.0711018
CI  delta  130  11447.8185454
CI  delta  131  11191.4567266
CI  delta  132  10942.6932818
CI  delta  133  10701.248751
CI  delta  134  10466.8559193
CI  delta  135  10239.2591945
CI  delta  136  10018.2140223
CI  delta  137  9803.48633359
CI  delta  138  9594.85202373
CI  delta  139  9392.09646133
CI  delta  140  9195.01402418
CI  delta  141  9003.40766108
CI  delta  142  8817.08847792
CI  delta  143  8635.87534639
CI  delta  144  8459.59453402
CI  delta  145  8288.07935425
CI  delta  146  8121.16983524
CI  delta  147  7958.71240638
CI  delta  148  7800.55960144
CI  delta  149  7646.56977734
CI  delta  150  7496.60684759
CI  delta  151  7350.54002963
CI  delta  152  7208.24360523
CI  delta  153  7069.5966931
CI  delta  154  6934.48303321
CI  delta  155  6802.7907819
CI  delta  156  6674.41231745
CI  delta  157  6549.24405526
CI  delta  158  6427.18627224
CI  delta  159  6308.14293996
CI  delta  160  6192.02156584
CI  delta  161  6078.73304227
CI  delta  162  5968.19150286
CI  delta  163  5860.31418579
CI  delta  164  5755.0213036
CI  delta  165  5652.23591922
CI  delta  166  5551.88382787
CI  delta  167  5453.89344451
CI  delta  168  5358.19569657
CI  delta  169  5264.72392167
CI  delta  170  5173.41377007
CI  delta  171  5084.20311158
CI  delta  172  4997.03194677
CI  delta  173  4911.8423222
CI  delta  174  4828.57824947
CI  delta  175  4747.18562793
CI  delta  176  4667.61217081
CI  delta  177  4589.80733471
CI  delta  178  4513.7222521
CI  delta  179  4439.30966688
CI  delta  180  4366.52387271
CI  delta  181  4295.32065407
CI  delta  182  4225.65722976
CI  delta  183  4157.49219897
CI  delta  184  4090.78548958
CI  delta  185  4025.49830865
CI  delta  186  3961.59309508
CI  delta  187  3899.03347414
CI  delta  188  3837.78421406
CI  delta  189  3777.81118428
CI  delta  190  3719.08131555
CI  delta  191  3661.5625616
CI  delta  192  3605.22386242
CI  delta  193  3550.035109
CI  delta  194  3495.96710959
CI  delta  195  3442.99155718
CI  delta  196  3391.08099844
CI  delta  197  3340.20880383
CI  delta  198  3290.34913885
CI  delta  199  3241.47693653
CI  delta  200  3193.56787096
CI  delta  201  3146.59833181
CI  delta  202  3100.54539995
CI  delta  203  3055.38682391
CI  delta  204  3011.10099732
CI  delta  205  2967.66693719
CI  delta  206  2925.06426303
CI  delta  207  2883.27317675
CI  delta  208  2842.27444335
CI  delta  209  2802.04937233
CI  delta  210  2762.57979975
CI  delta  211  2723.84807105
CI  delta  212  2685.83702445
CI  delta  213  2648.52997496
