#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  epsilon  1  3198310793.54
CI  epsilon  2  755286222.381
CI  epsilon  3  314119810.08
CI  epsilon  4  164992223.476
CI  epsilon  5  98690733.0577
CI  epsilon  6  64192778.6188
CI  epsilon  7  44291476.0038
CI  epsilon  8  31935795.6455
CI  epsilon  9  23829332.119
CI  epsilon  10  18276061.6774
CI  epsilon  11  14337173.9011
CI  epsilon  12  11462062.9032
CI  epsilon  13  9312260.22351
CI  epsilon  14  7671420.54126
CI  epsilon  15  6396621.58708
CI  epsilon  16  5390738.85573
CI  epsilon  17  4586131.75152
CI  epsilon  18  3934669.86333
CI  epsilon  19  3401448.45969
CI  epsilon  20  2960721.99173
CI  epsilon  21  2593210.05566
CI  epsilon  22  2284274.62042
CI  epsilon  23  2022663.16643
CI  epsilon  24  1799627.06023
CI  epsilon  25  1608293.42761
CI  epsilon  26  1443211.2199
CI  epsilon  27  1300018.85485
CI  epsilon  28  1175197.9279
CI  epsilon  29  1065888.66556
CI  epsilon  30  969750.211452
CI  epsilon  31  884853.83598
CI  epsilon  32  809600.579634
CI  epsilon  33  742657.20742
CI  epsilon  34  682906.012596
CI  epsilon  35  629405.185317
CI  epsilon  36  581357.305984
CI  epsilon  37  538084.134297
CI  epsilon  38  499006.311819
CI  epsilon  39  463626.925284
CI  epsilon  40  431518.122938
CI  epsilon  41  402310.159848
CI  epsilon  42  375682.386823
CI  epsilon  43  351355.803103
CI  epsilon  44  329086.873753
CI  epsilon  45  308662.374995
CI  epsilon  46  289895.078967
CI  epsilon  47  272620.127091
CI  epsilon  48  256691.97076
CI  epsilon  49  241981.781352
CI  epsilon  50  228375.250051
CI  epsilon  51  215770.712639
CI  epsilon  52  204077.546226
CI  epsilon  53  193214.794298
CI  epsilon  54  183109.984142
CI  epsilon  55  173698.106851
CI  epsilon  56  164920.735201
CI  epsilon  57  156725.258748
CI  epsilon  58  149064.218911
CI  epsilon  59  141894.72957
CI  epsilon  60  135177.970986
CI  epsilon  61  128878.746773
CI  epsilon  62  122965.095203
CI  epsilon  63  117407.94748
CI  epsilon  64  112180.826658
CI  epsilon  65  107259.581877
CI  epsilon  66  102622.153293
CI  epsilon  67  98248.3637918
CI  epsilon  68  94119.734078
CI  epsilon  69  90219.3182508
CI  epsilon  70  86531.5573295
CI  epsilon  71  83042.1485617
CI  epsilon  72  79737.9286232
CI  epsilon  73  76606.7690709
CI  epsilon  74  73637.4826199
CI  epsilon  75  70819.7389998
CI  epsilon  76  68143.9893031
CI  epsilon  77  65601.3978728
CI  epsilon  78  63183.7808936
CI  epsilon  79  60883.5509544
CI  epsilon  80  58693.6669353
CI  epsilon  81  56607.5886517
CI  epsilon  82  54619.2357522
CI  epsilon  83  52722.9504273
CI  epsilon  84  50913.4635357
CI  epsilon  85  49185.8637991
CI  epsilon  86  47535.5697578
CI  epsilon  87  45958.3042097
CI  epsilon  88  44450.0708897
CI  epsilon  89  43007.1331701
CI  epsilon  90  41625.9945868
CI  epsilon  91  40303.3810179
CI  epsilon  92  39036.2243581
CI  epsilon  93  37821.6475486
CI  epsilon  94  36656.9508382
CI  epsilon  95  35539.5991621
CI  epsilon  96  34467.2105373
CI  epsilon  97  33437.5453837
CI  epsilon  98  32448.4966874
CI  epsilon  99  31498.0809346
CI  epsilon  100  30584.4297458
CI  epsilon  101  29705.7821526
CI  epsilon  102  28860.477461
CI  epsilon  103  28046.9486507
CI  epsilon  104  27263.7162677
CI  epsilon  105  26509.382767
CI  epsilon  106  25782.6272694
CI  epsilon  107  25082.2006988
CI  epsilon  108  24406.9212685
CI  epsilon  109  23755.6702888
CI  epsilon  110  23127.3882714
CI  epsilon  111  22521.0713052
CI  epsilon  112  21935.7676842
CI  epsilon  113  21370.5747669
CI  epsilon  114  20824.6360504
CI  epsilon  115  20297.1384413
CI  epsilon  116  19787.3097104
CI  epsilon  117  19294.4161162
CI  epsilon  118  18817.760185
CI  epsilon  119  18356.6786366
CI  epsilon  120  17910.5404438
CI  epsilon  121  17478.7450174
CI  epsilon  122  17060.7205067
CI  epsilon  123  16655.9222075
CI  epsilon  124  16263.8310707
CI  epsilon  125  15883.9523028
CI  epsilon  126  15515.8140541
CI  epsilon  127  15158.9661865
CI  epsilon  128  14812.9791169
CI  epsilon  129  14477.4427302
CI  epsilon  130  14151.9653576
CI  epsilon  131  13836.1728158
CI  epsilon  132  13529.707503
CI  epsilon  133  13232.2275476
CI  epsilon  134  12943.4060067
CI  epsilon  135  12662.9301115
CI  epsilon  136  12390.5005549
CI  epsilon  137  12125.8308203
CI  epsilon  138  11868.6465488
CI  epsilon  139  11618.6849412
CI  epsilon  140  11375.6941936
CI  epsilon  141  11139.4329646
CI  epsilon  142  10909.6698715
CI  epsilon  143  10686.1830139
CI  epsilon  144  10468.7595237
CI  epsilon  145  10257.1951388
CI  epsilon  146  10051.2937999
CI  epsilon  147  9850.86726894
CI  epsilon  148  9655.73476699
CI  epsilon  149  9465.72263211
CI  epsilon  150  9280.66399433
CI  epsilon  151  9100.39846779
CI  epsilon  152  8924.77185866
CI  epsilon  153  8753.63588798
CI  epsilon  154  8586.84792864
CI  epsilon  155  8424.27075561
CI  epsilon  156  8265.77230868
CI  epsilon  157  8111.22546712
CI  epsilon  158  7960.50783539
CI  epsilon  159  7813.50153955
CI  epsilon  160  7670.0930335
CI  epsilon  161  7530.17291472
CI  epsilon  162  7393.63574894
CI  epsilon  163  7260.3799032
CI  epsilon  164  7130.30738688
CI  epsilon  165  7003.32370032
CI  epsilon  166  6879.33769059
CI  epsilon  167  6758.26141398
CI  epsilon  168  6640.01000495
CI  epsilon  169  6524.50155117
CI  epsilon  170  6411.6569743
CI  epsilon  171  6301.39991624
CI  epsilon  172  6193.65663058
CI  epsilon  173  6088.35587897
CI  epsilon  174  5985.42883216
CI  epsilon  175  5884.80897548
CI  epsilon  176  5786.43201852
CI  epsilon  177  5690.23580886
CI  epsilon  178  5596.16024956
CI  epsilon  179  5504.14722026
CI  epsilon  180  5414.14050177
CI  epsilon  181  5326.08570391
CI  epsilon  182  5239.93019643
CI  epsilon  183  5155.62304296
CI  epsilon  184  5073.11493771
CI  epsilon  185  4992.35814492
CI  epsilon  186  4913.30644082
CI  epsilon  187  4835.91505805
CI  epsilon  188  4760.14063242
CI  epsilon  189  4685.94115182
CI  epsilon  190  4613.27590735
CI  epsilon  191  4542.10544633
CI  epsilon  192  4472.39152736
CI  epsilon  193  4404.09707713
CI  epsilon  194  4337.18614897
CI  epsilon  195  4271.62388317
CI  epsilon  196  4207.37646877
CI  epsilon  197  4144.41110697
CI  epsilon  198  4082.69597592
CI  epsilon  199  4022.20019695
CI  epsilon  200  3962.89380214
CI  epsilon  201  3904.74770309
CI  epsilon  202  3847.73366098
CI  epsilon  203  3791.82425774
CI  epsilon  204  3736.99286837
CI  epsilon  205  3683.21363431
CI  epsilon  206  3630.46143778
CI  epsilon  207  3578.71187718
CI  epsilon  208  3527.94124338
CI  epsilon  209  3478.12649687
CI  epsilon  210  3429.2452458
CI  epsilon  211  3381.27572489
CI  epsilon  212  3334.19677498
CI  epsilon  213  3287.98782353
CI  epsilon  214  3242.62886565
CI  epsilon  215  3198.10044593
CI  epsilon  216  3154.38364096
CI  epsilon  217  3111.46004237
CI  epsilon  218  3069.31174056
CI  epsilon  219  3027.92130906
CI  epsilon  220  2987.27178932
CI  epsilon  221  2947.34667616
CI  epsilon  222  2908.12990366
CI  epsilon  223  2869.60583164
CI  epsilon  224  2831.75923249
CI  epsilon  225  2794.57527854
CI  epsilon  226  2758.0395299
CI  epsilon  227  2722.13792264
CI  epsilon  228  2686.85675742
CI  epsilon  229  2652.18268855
CI  epsilon  230  2618.10271333
CI  epsilon  231  2584.60416183
CI  epsilon  232  2551.67468702
CI  epsilon  233  2519.30225518
CI  epsilon  234  2487.47513666
CI  epsilon  235  2456.181897
CI  epsilon  236  2425.41138823
CI  epsilon  237  2395.15274058
CI  epsilon  238  2365.39535441
CI  epsilon  239  2336.12889238
CI  epsilon  240  2307.34327195
CI  epsilon  241  2279.02865803
CI  epsilon  242  2251.17545598
CI  epsilon  243  2223.77430474
CI  epsilon  244  2196.81607024
CI  epsilon  245  2170.291839
CI  epsilon  246  2144.19291194
CI  epsilon  247  2118.51079837
CI  epsilon  248  2093.23721022
CI  epsilon  249  2068.36405642
CI  epsilon  250  2043.88343741
CI  epsilon  251  2019.78763994
CI  epsilon  252  1996.0691319
CI  epsilon  253  1972.72055744
CI  epsilon  254  1949.73473212
CI  epsilon  255  1927.10463828
CI  epsilon  256  1904.82342059
CI  epsilon  257  1882.88438161
CI  epsilon  258  1861.28097763
CI  epsilon  259  1840.0068145
CI  epsilon  260  1819.05564375
CI  epsilon  261  1798.42135863
CI  epsilon  262  1778.09799045
CI  epsilon  263  1758.07970492
CI  epsilon  264  1738.36079863
CI  epsilon  265  1718.93569565
CI  epsilon  266  1699.79894422
CI  epsilon  267  1680.94521351
CI  epsilon  268  1662.36929055
CI  epsilon  269  1644.06607713
CI  epsilon  270  1626.03058695
CI  epsilon  271  1608.25794267
CI  epsilon  272  1590.74337325
CI  epsilon  273  1573.48221114
CI  epsilon  274  1556.46988977
CI  epsilon  275  1539.70194094
CI  epsilon  276  1523.17399241
CI  epsilon  277  1506.88176547
CI  epsilon  278  1490.82107262
CI  epsilon  279  1474.98781531
CI  epsilon  280  1459.37798176
CI  epsilon  281  1443.98764479
CI  epsilon  282  1428.8129598
CI  epsilon  283  1413.85016268
CI  epsilon  284  1399.09556792
CI  epsilon  285  1384.54556665
CI  epsilon  286  1370.19662481
CI  epsilon  287  1356.04528136
CI  epsilon  288  1342.08814649
CI  epsilon  289  1328.32189995
CI  epsilon  290  1314.74328937
CI  epsilon  291  1301.34912866
CI  epsilon  292  1288.13629642
CI  epsilon  293  1275.10173443
CI  epsilon  294  1262.24244616
CI  epsilon  295  1249.55549532
CI  epsilon  296  1237.03800445
CI  epsilon  297  1224.68715356
CI  epsilon  298  1212.50017878
CI  epsilon  299  1200.47437107
CI  epsilon  300  1188.60707496
CI  epsilon  301  1176.89568729
CI  epsilon  302  1165.33765607
CI  epsilon  303  1153.93047924
CI  epsilon  304  1142.67170359
CI  epsilon  305  1131.55892362
CI  epsilon  306  1120.58978048
CI  epsilon  307  1109.76196088
CI  epsilon  308  1099.07319612
CI  epsilon  309  1088.52126107
CI  epsilon  310  1078.10397317
CI  epsilon  311  1067.81919152
CI  epsilon  312  1057.66481593
CI  epsilon  313  1047.63878604
CI  epsilon  314  1037.73908042
CI  epsilon  315  1027.96371573
CI  epsilon  316  1018.31074589
CI  epsilon  317  1008.77826124
CI  epsilon  318  999.364387777
CI  epsilon  319  990.067286361
CI  epsilon  320  980.88515197
CI  epsilon  321  971.816212959
CI  epsilon  322  962.858730347
CI  epsilon  323  954.010997111
CI  epsilon  324  945.271337508
CI  epsilon  325  936.638106405
CI  epsilon  326  928.109688628
CI  epsilon  327  919.684498333
CI  epsilon  328  911.360978379
CI  epsilon  329  903.137599728
CI  epsilon  330  895.012860855
CI  epsilon  331  886.985287172
CI  epsilon  332  879.053430463
CI  epsilon  333  871.215868341
CI  epsilon  334  863.471203706
CI  epsilon  335  855.818064226
CI  epsilon  336  848.255101825
CI  epsilon  337  840.780992185
CI  epsilon  338  833.394434257
CI  epsilon  339  826.094149789
CI  epsilon  340  818.878882856
CI  epsilon  341  811.747399412
CI  epsilon  342  804.698486843
CI  epsilon  343  797.730953536
CI  epsilon  344  790.843628453
CI  epsilon  345  784.03536072
CI  epsilon  346  777.305019225
CI  epsilon  347  770.651492218
CI  epsilon  348  764.07368693
CI  epsilon  349  757.570529194
CI  epsilon  350  751.140963076
CI  epsilon  351  744.783950519
CI  epsilon  352  738.498470983
CI  epsilon  353  732.283521111
CI  epsilon  354  726.138114382
CI  epsilon  355  720.061280793
CI  epsilon  356  714.052066527
CI  epsilon  357  708.109533646
CI  epsilon  358  702.232759782
CI  epsilon  359  696.420837834
CI  epsilon  360  690.672875674
CI  epsilon  361  684.987995864
CI  epsilon  362  679.365335368
CI  epsilon  363  673.804045283
CI  epsilon  364  668.303290565
CI  epsilon  365  662.862249769
CI  epsilon  366  657.48011479
CI  epsilon  367  652.15609061
CI  epsilon  368  646.889395053
CI  epsilon  369  641.679258543
CI  epsilon  370  636.524923869
CI  epsilon  371  631.42564595
CI  epsilon  372  626.380691615
CI  epsilon  373  621.389339375
CI  epsilon  374  616.450879212
CI  epsilon  375  611.564612361
CI  epsilon  376  606.72985111
CI  epsilon  377  601.94591859
CI  epsilon  378  597.212148577
CI  epsilon  379  592.527885301
CI  epsilon  380  587.892483252
CI  epsilon  381  583.305306994
CI  epsilon  382  578.76573098
CI  epsilon  383  574.273139378
CI  epsilon  384  569.82692589
CI  epsilon  385  565.426493584
CI  epsilon  386  561.071254724
CI  epsilon  387  556.760630603
CI  epsilon  388  552.494051386
CI  epsilon  389  548.27095595
CI  epsilon  390  544.090791729
CI  epsilon  391  539.953014558
CI  epsilon  392  535.857088533
CI  epsilon  393  531.802485856
CI  epsilon  394  527.7886867
CI  epsilon  395  523.815179064
CI  epsilon  396  519.881458636
CI  epsilon  397  515.987028661
CI  epsilon  398  512.131399808
CI  epsilon  399  508.314090042
CI  epsilon  400  504.534624495
CI  epsilon  401  500.792535344
CI  epsilon  402  497.087361687
CI  epsilon  403  493.41864943
CI  epsilon  404  489.78595116
CI  epsilon  405  486.18882604
CI  epsilon  406  482.626839691
CI  epsilon  407  479.099564085
CI  epsilon  408  475.606577433
CI  epsilon  409  472.147464084
CI  epsilon  410  468.721814417
CI  epsilon  411  465.329224743
CI  epsilon  412  461.9692972
CI  epsilon  413  458.64163966
CI  epsilon  414  455.34586563
CI  epsilon  415  452.081594159
CI  epsilon  416  448.848449745
CI  epsilon  417  445.646062244
CI  epsilon  418  442.474066782
CI  epsilon  419  439.332103666
CI  epsilon  420  436.2198183
CI  epsilon  421  433.136861101
CI  epsilon  422  430.082887414
CI  epsilon  423  427.057557435
CI  epsilon  424  424.060536129
CI  epsilon  425  421.091493151
CI  epsilon  426  418.150102773
CI  epsilon  427  415.236043808
CI  epsilon  428  412.348999532
CI  epsilon  429  409.488657618
CI  epsilon  430  406.654710061
CI  epsilon  431  403.84685311
CI  epsilon  432  401.064787199
CI  epsilon  433  398.30821688
CI  epsilon  434  395.576850758
CI  epsilon  435  392.870401423
CI  epsilon  436  390.188585392
CI  epsilon  437  387.531123042
CI  epsilon  438  384.89773855
CI  epsilon  439  382.288159834
CI  epsilon  440  379.702118493
CI  epsilon  441  377.139349749
CI  epsilon  442  374.59959239
CI  epsilon  443  372.082588715
CI  epsilon  444  369.588084479
CI  epsilon  445  367.115828837
CI  epsilon  446  364.665574294
CI  epsilon  447  362.237076649
CI  epsilon  448  359.83009495
CI  epsilon  449  357.444391437
CI  epsilon  450  355.079731498
CI  epsilon  451  352.735883617
CI  epsilon  452  350.412619329
CI  epsilon  453  348.109713172
CI  epsilon  454  345.826942639
CI  epsilon  455  343.564088136
CI  epsilon  456  341.320932939
CI  epsilon  457  339.097263145
CI  epsilon  458  336.892867633
CI  epsilon  459  334.707538021
CI  epsilon  460  332.541068624
CI  epsilon  461  330.393256417
CI  epsilon  462  328.263900988
CI  epsilon  463  326.152804506
CI  epsilon  464  324.059771676
CI  epsilon  465  321.984609708
CI  epsilon  466  319.927128272
CI  epsilon  467  317.887139469
CI  epsilon  468  315.864457789
CI  epsilon  469  313.858900079
CI  epsilon  470  311.870285505
CI  epsilon  471  309.898435522
CI  epsilon  472  307.943173836
CI  epsilon  473  306.004326376
CI  epsilon  474  304.081721255
CI  epsilon  475  302.175188744
CI  epsilon  476  300.284561237
CI  epsilon  477  298.40967322
CI  epsilon  478  296.550361244
CI  epsilon  479  294.70646389
CI  epsilon  480  292.877821744
CI  epsilon  481  291.064277366
CI  epsilon  482  289.265675261
CI  epsilon  483  287.481861852
CI  epsilon  484  285.712685454
CI  epsilon  485  283.957996243
CI  epsilon  486  282.217646233
CI  epsilon  487  280.491489247
CI  epsilon  488  278.779380894
CI  epsilon  489  277.081178541
CI  epsilon  490  275.39674129
CI  epsilon  491  273.725929953
CI  epsilon  492  272.068607025
CI  epsilon  493  270.424636667
CI  epsilon  494  268.793884675
CI  epsilon  495  267.176218461
CI  epsilon  496  265.57150703
CI  epsilon  497  263.979620959
CI  epsilon  498  262.400432371
CI  epsilon  499  260.833814917
CI  epsilon  500  259.279643755
CI  epsilon  501  257.737795526
CI  epsilon  502  256.208148335
CI  epsilon  503  254.690581734
CI  epsilon  504  253.184976695
CI  epsilon  505  251.691215598
CI  epsilon  506  250.209182206
CI  epsilon  507  248.738761649
CI  epsilon  508  247.279840405
CI  epsilon  509  245.832306281
CI  epsilon  510  244.396048394
CI  epsilon  511  242.970957155
CI  epsilon  512  241.55692425
CI  epsilon  513  240.153842624
CI  epsilon  514  238.761606463
CI  epsilon  515  237.380111177
