#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  zeta  1  3222554548.8239727
CI  zeta  2  771021352.0135483
CI  zeta  3  324907763.15303427
CI  zeta  4  172708782.8510348
CI  zeta  5  104400114.30900805
CI  zeta  6  68535231.29009317
CI  zeta  7  47670925.278461136
CI  zeta  8  34617285.192445025
CI  zeta  9  25992621.05224274
CI  zeta  10  20046555.152352255
CI  zeta  11  15804515.57446056
CI  zeta  12  12691709.498165403
CI  zeta  13  10352910.088175492
CI  zeta  14  8559910.520313676
CI  zeta  15  7161232.330719939
CI  zeta  16  6053473.424899759
CI  zeta  17  5164316.458303343
CI  zeta  18  4442098.3243578905
CI  zeta  19  3849211.970783648
CI  zeta  20  3357820.7993016066
CI  zeta  21  2947009.1895966837
CI  zeta  22  2600847.8732114974
CI  zeta  23  2307055.521265834
CI  zeta  24  2056056.938702795
CI  zeta  25  1840310.027465761
CI  zeta  26  1653817.9887864569
CI  zeta  27  1491771.180684271
CI  zeta  28  1350281.0204036431
CI  zeta  29  1226180.0899211308
CI  zeta  30  1116870.4358385555
CI  zeta  31  1020207.3485246643
CI  zeta  32  934409.5332574164
CI  zeta  33  857989.1051036163
CI  zeta  34  789696.6096747761
CI  zeta  35  728477.5303706779
CI  zeta  36  673437.6468414293
CI  zeta  37  623815.2654421799
CI  zeta  38  578958.8229675231
CI  zeta  39  538308.7200168617
CI  zeta  40  501382.5049010597
CI  zeta  41  467762.72768077423
CI  zeta  42  437086.93424804334
CI  zeta  43  409039.3849016644
CI  zeta  44  383344.1697283889
CI  zeta  45  359759.4609306954
CI  zeta  46  338072.694924342
CI  zeta  47  318096.5181848042
CI  zeta  48  299665.3631511276
CI  zeta  49  282632.54602605256
CI  zeta  50  266867.7985744854
CI  zeta  51  252255.16218305347
CI  zeta  52  238691.18539211652
CI  zeta  53  226083.37653279534
CI  zeta  54  214348.87152457115
CI  zeta  55  203413.2837248882
CI  zeta  56  193209.70829195483
CI  zeta  57  183677.8580773555
CI  zeta  58  174763.31180449767
CI  zeta  59  166416.85836939383
