#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
HI  alpha  1  2466038768.59
HI  alpha  2  456673846.036
HI  alpha  3  159835846.113
HI  alpha  4  73981163.0578
HI  alpha  5  40187298.4512
HI  alpha  6  24231673.4631
HI  alpha  7  15727288.065
HI  alpha  8  10782576.9203
HI  alpha  9  7712713.84416
HI  alpha  10  5706535.99344
HI  alpha  11  4340288.61935
HI  alpha  12  3377765.1334
HI  alpha  13  2680153.23238
HI  alpha  14  2162210.86286
HI  alpha  15  1769611.15339
HI  alpha  16  1466610.42682
HI  alpha  17  1229033.80325
HI  alpha  18  1040131.25905
HI  alpha  19  888047.201987
HI  alpha  20  764229.70153
HI  alpha  21  662404.296831
HI  alpha  22  577896.569684
HI  alpha  23  507175.585153
HI  alpha  24  447540.369115
HI  alpha  25  396900.914235
HI  alpha  26  353622.818904
HI  alpha  27  316415.489191
HI  alpha  28  284250.628523
HI  alpha  29  256302.087193
HI  alpha  30  231900.974886
HI  alpha  31  210501.813461
HI  alpha  32  191656.766479
HI  alpha  33  174995.840227
HI  alpha  34  160211.543472
HI  alpha  35  147046.90734
HI  alpha  36  135286.059413
HI  alpha  37  124746.75535
HI  alpha  38  115274.422281
HI  alpha  39  106737.378215
HI  alpha  40  99022.972564
HI  alpha  41  92034.4528184
HI  alpha  42  85688.4072208
HI  alpha  43  79912.6669869
HI  alpha  44  74644.5772217
HI  alpha  45  69829.5651994
HI  alpha  46  65419.9496872
HI  alpha  47  61373.9466011
HI  alpha  48  57654.8353101
HI  alpha  49  54230.2569687
HI  alpha  50  51071.6218127
HI  alpha  51  48153.6067461
HI  alpha  52  45453.7280322
HI  alpha  53  42951.9766938
HI  alpha  54  40630.5064527
HI  alpha  55  38473.365845
HI  alpha  56  36466.2675971
HI  alpha  57  34596.3895337
HI  alpha  58  32852.2022473
HI  alpha  59  31223.3195509
HI  alpha  60  29700.3683797
HI  alpha  61  28274.8753419
HI  alpha  62  26939.1675595
HI  alpha  63  25686.2858058
HI  alpha  64  24509.9082492
HI  alpha  65  23404.2833706
HI  alpha  66  22364.1708282
HI  alpha  67  21384.7892285
HI  alpha  68  20461.7699083
HI  alpha  69  19591.1159597
HI  alpha  70  18769.1658399
HI  alpha  71  17992.5609952
HI  alpha  72  17258.2170084
HI  alpha  73  16563.2978449
HI  alpha  74  15905.1928261
HI  alpha  75  15281.4960114
HI  alpha  76  14689.9877075
HI  alpha  77  14128.6178628
HI  alpha  78  13595.4911314
HI  alpha  79  13088.8534225
HI  alpha  80  12607.0797688
HI  alpha  81  12148.6633722
HI  alpha  82  11712.2056978
HI  alpha  83  11296.4075068
HI  alpha  84  10900.0607274
HI  alpha  85  10522.0410778
HI  alpha  86  10161.3013641
HI  alpha  87  9816.86538265
HI  alpha  88  9487.82236902
HI  alpha  89  9173.32193639
HI  alpha  90  8872.56945699
HI  alpha  91  8584.82184285
HI  alpha  92  8309.3836875
HI  alpha  93  8045.60373429
HI  alpha  94  7792.87164051
HI  alpha  95  7550.61500977
HI  alpha  96  7318.29666783
HI  alpha  97  7095.41215971
HI  alpha  98  6881.48744796
HI  alpha  99  6676.07679421
HI  alpha  100  6478.7608076
HI  alpha  101  6289.14464559
HI  alpha  102  6106.85635376
HI  alpha  103  5931.54533276
HI  alpha  104  5762.88092148
HI  alpha  105  5600.55108658
HI  alpha  106  5444.26120968
HI  alpha  107  5293.73296378
HI  alpha  108  5148.70327194
HI  alpha  109  5008.92334124
HI  alpha  110  4874.15776607
HI  alpha  111  4744.18369518
HI  alpha  112  4618.79005747
HI  alpha  113  4497.77684182
HI  alpha  114  4380.95442683
HI  alpha  115  4268.1429566
HI  alpha  116  4159.17175893
HI  alpha  117  4053.8788029
HI  alpha  118  3952.11019269
HI  alpha  119  3853.71969503
HI  alpha  120  3758.56829775
HI  alpha  121  3666.52379717
HI  alpha  122  3577.4604122
HI  alpha  123  3491.25842327
HI  alpha  124  3407.80383423
HI  alpha  125  3326.98805566
HI  alpha  126  3248.70760804
HI  alpha  127  3172.86384341
HI  alpha  128  3099.3626842
HI  alpha  129  3028.11437811
HI  alpha  130  2959.03326785
HI  alpha  131  2892.03757481
HI  alpha  132  2827.04919571
HI  alpha  133  2763.99351133
HI  alpha  134  2702.79920648
HI  alpha  135  2643.39810064
HI  alpha  136  2585.72498832
HI  alpha  137  2529.71748875
HI  alpha  138  2475.31590409
HI  alpha  139  2422.46308584
HI  alpha  140  2371.10430865
HI  alpha  141  2321.18715134
HI  alpha  142  2272.6613845
HI  alpha  143  2225.47886429
HI  alpha  144  2179.59343216
HI  alpha  145  2134.96081994
HI  alpha  146  2091.53856014
HI  alpha  147  2049.28590109
HI  alpha  148  2008.16372662
HI  alpha  149  1968.13447992
HI  alpha  150  1929.16209158
HI  alpha  151  1891.21191127
HI  alpha  152  1854.25064301
HI  alpha  153  1818.24628387
HI  alpha  154  1783.16806571
HI  alpha  155  1748.98639998
HI  alpha  156  1715.67282527
HI  alpha  157  1683.19995757
HI  alpha  158  1651.54144296
HI  alpha  159  1620.67191266
HI  alpha  160  1590.56694041
HI  alpha  161  1561.20300179
HI  alpha  162  1532.55743566
HI  alpha  163  1504.60840739
HI  alpha  164  1477.33487393
HI  alpha  165  1450.71655052
HI  alpha  166  1424.73387902
HI  alpha  167  1399.36799768
HI  alpha  168  1374.60071242
HI  alpha  169  1350.41446942
HI  alpha  170  1326.79232895
HI  alpha  171  1303.71794051
HI  alpha  172  1281.17551898
HI  alpha  173  1259.14982203
HI  alpha  174  1237.6261284
HI  alpha  175  1216.59021726
HI  alpha  176  1196.02834848
HI  alpha  177  1175.92724378
HI  alpha  178  1156.27406869
HI  alpha  179  1137.0564154
HI  alpha  180  1118.26228625
HI  alpha  181  1099.880078
HI  alpha  182  1081.89856683
HI  alpha  183  1064.30689389
HI  alpha  184  1047.09455157
HI  alpha  185  1030.2513703
HI  alpha  186  1013.76750593
HI  alpha  187  997.633427641
HI  alpha  188  981.839906375
HI  alpha  189  966.378003754
HI  alpha  190  951.239061449
HI  alpha  191  936.414690994
HI  alpha  192  921.896764027
HI  alpha  193  907.67740293
HI  alpha  194  893.748971848
HI  alpha  195  880.104068078
HI  alpha  196  866.735513808
HI  alpha  197  853.636348182
HI  alpha  198  840.79981969
HI  alpha  199  828.219378862
HI  alpha  200  815.888671243
HI  alpha  201  803.801530657
HI  alpha  202  791.95197273
HI  alpha  203  780.334188666
HI  alpha  204  768.942539264
HI  alpha  205  757.771549175
HI  alpha  206  746.815901369
HI  alpha  207  736.070431822
HI  alpha  208  725.530124405
HI  alpha  209  715.190105964
HI  alpha  210  705.045641589
HI  alpha  211  695.092130058
HI  alpha  212  685.325099458
HI  alpha  213  675.740202962
HI  alpha  214  666.333214766
HI  alpha  215  657.100026179
HI  alpha  216  648.036641849
HI  alpha  217  639.139176137
HI  alpha  218  630.403849615
HI  alpha  219  621.826985696
HI  alpha  220  613.405007382
HI  alpha  221  605.134434135
HI  alpha  222  597.011878849
HI  alpha  223  589.034044945
HI  alpha  224  581.197723555
HI  alpha  225  573.499790812
HI  alpha  226  565.937205238
HI  alpha  227  558.507005216
HI  alpha  228  551.206306558
HI  alpha  229  544.03230015
HI  alpha  230  536.982249684
HI  alpha  231  530.053489465
HI  alpha  232  523.243422297
HI  alpha  233  516.549517434
HI  alpha  234  509.969308607
HI  alpha  235  503.500392117
HI  alpha  236  497.140424987
HI  alpha  237  490.887123185
HI  alpha  238  484.738259896
HI  alpha  239  478.691663861
HI  alpha  240  472.745217763
HI  alpha  241  466.896856674
HI  alpha  242  461.144566543
HI  alpha  243  455.486382748
HI  alpha  244  449.920388677
HI  alpha  245  444.444714372
HI  alpha  246  439.057535207
HI  alpha  247  433.75707061
HI  alpha  248  428.541582827
HI  alpha  249  423.40937573
HI  alpha  250  418.35879365
HI  alpha  251  413.388220264
HI  alpha  252  408.496077504
HI  alpha  253  403.680824505
HI  alpha  254  398.940956586
HI  alpha  255  394.275004265
HI  alpha  256  389.681532297
HI  alpha  257  385.159138753
HI  alpha  258  380.706454115
HI  alpha  259  376.322140412
HI  alpha  260  372.004890369
HI  alpha  261  367.753426592
HI  alpha  262  363.566500775
HI  alpha  263  359.442892927
HI  alpha  264  355.381410627
HI  alpha  265  351.380888301
HI  alpha  266  347.440186519
HI  alpha  267  343.558191312
HI  alpha  268  339.733813512
HI  alpha  269  335.965988108
HI  alpha  270  332.253673629
HI  alpha  271  328.595851531
HI  alpha  272  324.991525617
HI  alpha  273  321.439721464
HI  alpha  274  317.939485869
HI  alpha  275  314.489886317
HI  alpha  276  311.090010451
HI  alpha  277  307.738965572
HI  alpha  278  304.435878144
HI  alpha  279  301.179893316
HI  alpha  280  297.970174456
HI  alpha  281  294.805902705
HI  alpha  282  291.68627653
HI  alpha  283  288.610511304
HI  alpha  284  285.577838889
HI  alpha  285  282.587507234
HI  alpha  286  279.638779982
HI  alpha  287  276.730936091
HI  alpha  288  273.863269462
HI  alpha  289  271.035088579
HI  alpha  290  268.245716162
HI  alpha  291  265.494488822
HI  alpha  292  262.780756731
HI  alpha  293  260.103883303
HI  alpha  294  257.463244873
HI  alpha  295  254.8582304
HI  alpha  296  252.288241167
HI  alpha  297  249.752690487
HI  alpha  298  247.251003432
HI  alpha  299  244.782616548
HI  alpha  300  242.346977599
HI  alpha  301  239.943545297
HI  alpha  302  237.57178906
HI  alpha  303  235.231188757
HI  alpha  304  232.921234474
HI  alpha  305  230.641426279
HI  alpha  306  228.391273994
HI  alpha  307  226.170296974
HI  alpha  308  223.978023894
HI  alpha  309  221.813992534
HI  alpha  310  219.677749579
HI  alpha  311  217.568850416
HI  alpha  312  215.486858943
HI  alpha  313  213.431347376
HI  alpha  314  211.401896068
HI  alpha  315  209.398093326
HI  alpha  316  207.419535238
HI  alpha  317  205.465825501
HI  alpha  318  203.536575253
HI  alpha  319  201.631402913
HI  alpha  320  199.749934021
HI  alpha  321  197.891801083
HI  alpha  322  196.056643421
HI  alpha  323  194.244107027
HI  alpha  324  192.453844418
HI  alpha  325  190.685514496
HI  alpha  326  188.938782412
HI  alpha  327  187.213319434
HI  alpha  328  185.508802815
HI  alpha  329  183.824915667
HI  alpha  330  182.161346839
HI  alpha  331  180.517790792
HI  alpha  332  178.893947488
HI  alpha  333  177.289522267
HI  alpha  334  175.70422574
HI  alpha  335  174.137773679
HI  alpha  336  172.589886908
HI  alpha  337  171.060291198
HI  alpha  338  169.548717169
HI  alpha  339  168.054900186
HI  alpha  340  166.578580264
HI  alpha  341  165.119501974
HI  alpha  342  163.677414345
HI  alpha  343  162.252070781
HI  alpha  344  160.843228966
HI  alpha  345  159.45065078
HI  alpha  346  158.074102215
HI  alpha  347  156.713353293
HI  alpha  348  155.368177981
HI  alpha  349  154.038354119
HI  alpha  350  152.723663336
HI  alpha  351  151.423890979
HI  alpha  352  150.13882604
HI  alpha  353  148.86826108
HI  alpha  354  147.611992162
HI  alpha  355  146.369818782
HI  alpha  356  145.141543799
HI  alpha  357  143.926973374
HI  alpha  358  142.725916902
HI  alpha  359  141.538186949
HI  alpha  360  140.363599195
HI  alpha  361  139.201972367
HI  alpha  362  138.053128188
HI  alpha  363  136.916891312
HI  alpha  364  135.793089274
HI  alpha  365  134.681552432
HI  alpha  366  133.582113912
HI  alpha  367  132.49460956
HI  alpha  368  131.418877884
HI  alpha  369  130.354760009
HI  alpha  370  129.302099628
HI  alpha  371  128.260742948
HI  alpha  372  127.230538649
HI  alpha  373  126.211337834
HI  alpha  374  125.202993987
HI  alpha  375  124.205362924
HI  alpha  376  123.218302755
HI  alpha  377  122.241673839
HI  alpha  378  121.275338742
HI  alpha  379  120.319162197
HI  alpha  380  119.373011066
HI  alpha  381  118.436754297
HI  alpha  382  117.51026289
HI  alpha  383  116.593409858
HI  alpha  384  115.68607019
HI  alpha  385  114.788120816
HI  alpha  386  113.899440571
HI  alpha  387  113.019910161
HI  alpha  388  112.149412132
HI  alpha  389  111.28783083
HI  alpha  390  110.435052379
HI  alpha  391  109.59096464
HI  alpha  392  108.755457186
HI  alpha  393  107.928421266
HI  alpha  394  107.109749784
HI  alpha  395  106.299337261
HI  alpha  396  105.497079811
HI  alpha  397  104.702875112
HI  alpha  398  103.916622379
HI  alpha  399  103.138222337
HI  alpha  400  102.367577194
HI  alpha  401  101.604590617
HI  alpha  402  100.849167704
HI  alpha  403  100.101214961
HI  alpha  404  99.360640278
HI  alpha  405  98.6273529046
HI  alpha  406  97.9012634259
HI  alpha  407  97.1822837406
HI  alpha  408  96.4703270384
HI  alpha  409  95.7653077777
HI  alpha  410  95.0671416641
HI  alpha  411  94.3757456296
HI  alpha  412  93.6910378112
HI  alpha  413  93.012937531
HI  alpha  414  92.3413652762
HI  alpha  415  91.6762426793
HI  alpha  416  91.0174924992
HI  alpha  417  90.3650386021
HI  alpha  418  89.718805943
HI  alpha  419  89.078720548
HI  alpha  420  88.4447094959
HI  alpha  421  87.8167009012
HI  alpha  422  87.1946238969
HI  alpha  423  86.5784086175
HI  alpha  424  85.9679861828
HI  alpha  425  85.3632886816
HI  alpha  426  84.7642491557
HI  alpha  427  84.1708015847
HI  alpha  428  83.5828808702
HI  alpha  429  83.0004228213
HI  alpha  430  82.4233641397
HI  alpha  431  81.851642405
HI  alpha  432  81.2851960609
HI  alpha  433  80.7239644013
HI  alpha  434  80.167887556
HI  alpha  435  79.6169064782
