#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
HI  beta  1  2922712614.63
HI  beta  2  616509692.148
HI  beta  3  233817009.17
HI  beta  4  114168461.509
HI  beta  5  64418971.9143
HI  beta  6  39958961.5281
HI  beta  7  26509864.9853
HI  beta  8  18495290.7645
HI  beta  9  13419249.8376
HI  beta  10  10046824.6128
HI  beta  11  7718053.75275
HI  beta  12  6057918.36578
HI  beta  13  4842364.09524
HI  beta  14  3931822.01625
HI  beta  15  3236221.58021
HI  beta  16  2695644.23007
HI  beta  17  2269165.0623
HI  beta  18  1928178.46104
HI  beta  19  1652276.90352
HI  beta  20  1426633.99836
HI  beta  21  1240300.86651
HI  beta  22  1085072.15484
HI  beta  23  954715.954269
HI  beta  24  844441.28335
HI  beta  25  750523.73314
HI  beta  26  670038.308095
HI  beta  27  600666.117714
HI  beta  28  540552.715716
HI  beta  29  488203.062079
HI  beta  30  442402.788347
HI  beta  31  402158.579941
HI  beta  32  366652.606706
HI  beta  33  335207.383698
HI  beta  34  307258.450812
HI  beta  35  282332.966754
HI  beta  36  260032.814763
HI  beta  37  240021.177631
HI  beta  38  222011.800497
HI  beta  39  205760.35078
HI  beta  40  191057.425382
HI  beta  41  177722.860039
HI  beta  42  165601.074208
HI  beta  43  154557.244209
HI  beta  44  144474.142421
HI  beta  45  135249.514887
HI  beta  46  126793.896288
HI  beta  47  119028.781911
HI  beta  48  111885.092279
HI  beta  49  105301.878781
HI  beta  50  99225.2285588
HI  beta  51  93607.3347783
HI  beta  52  88405.7047261
HI  beta  53  83582.4831466
HI  beta  54  79103.8722977
HI  beta  55  74939.6334421
HI  beta  56  71062.6571309
HI  beta  57  67448.591781
HI  beta  58  64075.5217981
HI  beta  59  60923.6879305
HI  beta  60  57975.2437215
HI  beta  61  55214.0429014
HI  beta  62  52625.4533653
HI  beta  63  50196.194055
HI  beta  64  47914.1916199
HI  beta  65  45768.4541988
HI  beta  66  43748.9600566
HI  beta  67  41846.5591368
HI  beta  68  40052.885868
HI  beta  69  38360.2817997
HI  beta  70  36761.7268351
HI  beta  71  35250.7780036
HI  beta  72  33821.5148533
HI  beta  73  32468.4906711
HI  beta  74  31186.6888375
HI  beta  75  29971.4837189
HI  beta  76  28818.6055703
HI  beta  77  27724.1089942
HI  beta  78  26684.3445539
HI  beta  79  25695.9331913
HI  beta  80  24755.743141
HI  beta  81  23860.86907
HI  beta  82  23008.6132046
HI  beta  83  22196.4682342
HI  beta  84  21422.1018052
HI  beta  85  20683.3424419
HI  beta  86  19978.1667467
HI  beta  87  19304.6877517
HI  beta  88  18661.1443054
HI  beta  89  18045.8913934
HI  beta  90  17457.3912998
HI  beta  91  16894.2055304
HI  beta  92  16354.9874218
HI  beta  93  15838.4753748
HI  beta  94  15343.4866503
HI  beta  95  14868.9116776
HI  beta  96  14413.7088275
HI  beta  97  13976.8996077
HI  beta  98  13557.5642422
HI  beta  99  13154.8376018
HI  beta  100  12767.9054532
HI  beta  101  12396.0009993
HI  beta  102  12038.4016865
HI  beta  103  11694.4262542
HI  beta  104  11363.4320081
HI  beta  105  11044.8122963
HI  beta  106  10737.9941735
HI  beta  107  10442.4362357
HI  beta  108  10157.6266132
HI  beta  109  9883.08110731
HI  beta  110  9618.34146125
HI  beta  111  9362.97375265
HI  beta  112  9116.56689928
HI  beta  113  8878.73126865
HI  beta  114  8649.09738343
HI  beta  115  8427.31471552
HI  beta  116  8213.05056182
HI  beta  117  8005.98899558
HI  beta  118  7805.82988772
HI  beta  119  7612.28799278
HI  beta  120  7425.09209491
HI  beta  121  7243.98420936
HI  beta  122  7068.71883547
HI  beta  123  6899.0622575
HI  beta  124  6734.79188988
HI  beta  125  6575.69566369
HI  beta  126  6421.57145144
HI  beta  127  6272.22652761
HI  beta  128  6127.47706231
HI  beta  129  5987.14764596
HI  beta  130  5851.07084265
HI  beta  131  5719.08677052
HI  beta  132  5591.04270704
HI  beta  133  5466.79271781
HI  beta  134  5346.19730712
HI  beta  135  5229.12308896
HI  beta  136  5115.44247707
HI  beta  137  5005.03339284
HI  beta  138  4897.77898993
HI  beta  139  4793.56739448
HI  beta  140  4692.29145998
HI  beta  141  4593.84853583
HI  beta  142  4498.14024879
HI  beta  143  4405.07229646
HI  beta  144  4314.5542521
HI  beta  145  4226.49938007
HI  beta  146  4140.82446123
HI  beta  147  4057.44962771
HI  beta  148  3976.29820654
HI  beta  149  3897.2965715
HI  beta  150  3820.37400285
HI  beta  151  3745.46255428
HI  beta  152  3672.49692688
HI  beta  153  3601.41434958
HI  beta  154  3532.15446569
HI  beta  155  3464.65922525
HI  beta  156  3398.87278285
HI  beta  157  3334.74140053
HI  beta  158  3272.21335562
HI  beta  159  3211.23885308
HI  beta  160  3151.76994221
HI  beta  161  3093.76043745
HI  beta  162  3037.16584304
HI  beta  163  2981.94328131
HI  beta  164  2928.05142445
HI  beta  165  2875.45042954
HI  beta  166  2824.1018767
HI  beta  167  2773.9687101
HI  beta  168  2725.01518184
HI  beta  169  2677.20679837
HI  beta  170  2630.51026946
HI  beta  171  2584.89345949
HI  beta  172  2540.32534102
HI  beta  173  2496.77595044
HI  beta  174  2454.21634566
HI  beta  175  2412.61856574
HI  beta  176  2371.95559226
HI  beta  177  2332.20131247
HI  beta  178  2293.3304841
HI  beta  179  2255.31870165
HI  beta  180  2218.14236425
HI  beta  181  2181.77864482
HI  beta  182  2146.20546071
HI  beta  183  2111.40144546
HI  beta  184  2077.34592188
HI  beta  185  2044.01887624
HI  beta  186  2011.40093357
HI  beta  187  1979.47333402
HI  beta  188  1948.21791013
HI  beta  189  1917.6170652
HI  beta  190  1887.65375244
HI  beta  191  1858.31145502
HI  beta  192  1829.57416696
HI  beta  193  1801.42637478
HI  beta  194  1773.85303993
HI  beta  195  1746.83958189
HI  beta  196  1720.37186199
HI  beta  197  1694.43616787
HI  beta  198  1669.01919855
HI  beta  199  1644.1080501
HI  beta  200  1619.6902019
HI  beta  201  1595.75350339
HI  beta  202  1572.2861614
HI  beta  203  1549.27672793
HI  beta  204  1526.71408844
HI  beta  205  1504.58745054
HI  beta  206  1482.88633319
HI  beta  207  1461.60055623
HI  beta  208  1440.72023037
HI  beta  209  1420.23574755
HI  beta  210  1400.13777165
HI  beta  211  1380.41722952
HI  beta  212  1361.06530242
HI  beta  213  1342.07341773
HI  beta  214  1323.43324094
HI  beta  215  1305.13666803
HI  beta  216  1287.17581799
HI  beta  217  1269.54302575
HI  beta  218  1252.23083531
HI  beta  219  1235.23199308
HI  beta  220  1218.53944152
HI  beta  221  1202.14631298
HI  beta  222  1186.04592379
HI  beta  223  1170.2317685
HI  beta  224  1154.69751437
HI  beta  225  1139.43699605
HI  beta  226  1124.44421045
HI  beta  227  1109.71331177
HI  beta  228  1095.23860671
HI  beta  229  1081.01454983
HI  beta  230  1067.03573915
HI  beta  231  1053.29691176
HI  beta  232  1039.79293973
HI  beta  233  1026.51882604
HI  beta  234  1013.46970072
HI  beta  235  1000.6408171
HI  beta  236  988.027548172
HI  beta  237  975.625383081
HI  beta  238  963.429923757
HI  beta  239  951.436881624
HI  beta  240  939.642074437
HI  beta  241  928.041423217
HI  beta  242  916.630949291
HI  beta  243  905.406771425
HI  beta  244  894.36510305
HI  beta  245  883.50224958
HI  beta  246  872.814605817
HI  beta  247  862.298653437
HI  beta  248  851.950958557
HI  beta  249  841.768169379
HI  beta  250  831.747013914
HI  beta  251  821.884297768
HI  beta  252  812.176902009
HI  beta  253  802.621781091
HI  beta  254  793.215960851
HI  beta  255  783.956536562
HI  beta  256  774.84067105
HI  beta  257  765.865592868
HI  beta  258  757.028594528
HI  beta  259  748.327030781
HI  beta  260  739.758316962
HI  beta  261  731.319927368
HI  beta  262  723.009393702
HI  beta  263  714.824303553
HI  beta  264  706.762298928
HI  beta  265  698.82107482
HI  beta  266  690.998377831
HI  beta  267  683.292004824
