#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
HI  delta  1  3156529623.8
HI  delta  2  730678153.658
HI  delta  3  298235981.085
HI  delta  4  154127423.037
HI  delta  5  90928836.8996
HI  delta  6  58454252.2926
HI  delta  7  39929114.8229
HI  delta  8  28542115.3772
HI  delta  9  21137303.5904
HI  delta  10  16104742.9786
HI  delta  11  12560417.848
HI  delta  12  9989740.38204
HI  delta  13  8078585.67546
HI  delta  14  6627466.24633
HI  delta  15  5505386.64252
HI  delta  16  4623822.69111
HI  delta  17  3921441.96582
HI  delta  18  3354812.4594
HI  delta  19  2892577.77003
HI  delta  20  2511706.1532
HI  delta  21  2195016.82078
HI  delta  22  1929513.43819
HI  delta  23  1705239.68741
HI  delta  24  1514479.59145
HI  delta  25  1351189.85085
HI  delta  26  1210591.02381
HI  delta  27  1088869.17979
HI  delta  28  982955.504063
HI  delta  29  890361.642019
HI  delta  30  809055.395053
HI  delta  31  737365.963639
HI  delta  32  673911.057518
HI  delta  33  617540.350452
HI  delta  34  567291.265576
HI  delta  35  522354.144385
HI  delta  36  482044.61526
HI  delta  37  445781.528411
HI  delta  38  413069.225879
HI  delta  39  383483.210819
HI  delta  40  356658.49959
HI  delta  41  332280.104248
HI  delta  42  310075.216629
HI  delta  43  289806.759095
HI  delta  44  271268.038709
HI  delta  45  254278.296798
HI  delta  46  238678.988567
HI  delta  47  224330.660693
HI  delta  48  211110.320838
HI  delta  49  198909.21356
HI  delta  50  187630.933285
HI  delta  51  177189.817925
HI  delta  52  167509.577024
HI  delta  53  158522.116589
HI  delta  54  150166.529429
HI  delta  55  142388.225223
HI  delta  56  135138.178929
HI  delta  57  128372.279712
HI  delta  58  122050.76552
HI  delta  59  116137.730832
HI  delta  60  110600.697087
HI  delta  61  105410.236956
HI  delta  62  100539.644985
HI  delta  63  95964.6482538
HI  delta  64  91663.1516765
HI  delta  65  87615.0133355
HI  delta  66  83801.8459246
HI  delta  67  80206.8409364
HI  delta  68  76814.6127031
HI  delta  69  73611.0598032
HI  delta  70  70583.2416884
HI  delta  71  67719.2686746
HI  delta  72  65008.2036909
HI  delta  73  62439.97439
HI  delta  74  60005.2944078
HI  delta  75  57695.5927131
HI  delta  76  55502.9501242
HI  delta  77  53420.0421855
HI  delta  78  51440.0876949
HI  delta  79  49556.8022613
HI  delta  80  47764.3563456
HI  delta  81  46057.3373041
HI  delta  82  44430.7150098
HI  delta  83  42879.8106761
HI  delta  84  41400.2685519
HI  delta  85  39988.0301936
HI  delta  86  38639.3110521
HI  delta  87  37350.5791451
HI  delta  88  36118.5356053
HI  delta  89  34940.0969237
