#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
RRL_HI  epsilon  1  3196716922.251991
RRL_HI  epsilon  2  754909827.1207325
RRL_HI  epsilon  3  313963269.14974904
RRL_HI  epsilon  4  164909999.95744395
RRL_HI  epsilon  5  98641550.74377571
RRL_HI  epsilon  6  64160788.286049396
RRL_HI  epsilon  7  44269403.442265175
RRL_HI  epsilon  8  31919880.510652278
RRL_HI  epsilon  9  23817456.822739158
RRL_HI  epsilon  10  18266953.841439947
RRL_HI  epsilon  11  14330029.001387872
RRL_HI  epsilon  12  11456350.808861557
RRL_HI  epsilon  13  9307619.478708718
RRL_HI  epsilon  14  7667597.5053814
RRL_HI  epsilon  15  6393433.844503981
RRL_HI  epsilon  16  5388052.392644117
RRL_HI  epsilon  17  4583846.262650792
RRL_HI  epsilon  18  3932709.029085474
RRL_HI  epsilon  19  3399753.3551848936
RRL_HI  epsilon  20  2959246.522313271
RRL_HI  epsilon  21  2591917.735018952
RRL_HI  epsilon  22  2283136.2570925355
RRL_HI  epsilon  23  2021655.1765993156
RRL_HI  epsilon  24  1798730.2199693765
RRL_HI  epsilon  25  1607491.9380467155
RRL_HI  epsilon  26  1442491.9986975305
RRL_HI  epsilon  27  1299370.9932544327
RRL_HI  epsilon  28  1174612.2705429208
RRL_HI  epsilon  29  1065357.4822460127
RRL_HI  epsilon  30  969266.9385253848
RRL_HI  epsilon  31  884412.8709796487
RRL_HI  epsilon  32  809197.116931711
RRL_HI  epsilon  33  742287.105802429
RRL_HI  epsilon  34  682565.6878570853
RRL_HI  epsilon  35  629091.5226006105
RRL_HI  epsilon  36  581067.5878242429
RRL_HI  epsilon  37  537815.9812293182
RRL_HI  epsilon  38  498757.63309993566
RRL_HI  epsilon  39  463395.8778056127
RRL_HI  epsilon  40  431303.0768117765
RRL_HI  epsilon  41  402109.66944712563
RRL_HI  epsilon  42  375495.1663159421
RRL_HI  epsilon  43  351180.70569628774
RRL_HI  epsilon  44  328922.87401954667
RRL_HI  epsilon  45  308508.5537665413
RRL_HI  epsilon  46  289750.61037991557
RRL_HI  epsilon  47  272484.2674387959
RRL_HI  epsilon  48  256564.04886990387
RRL_HI  epsilon  49  241861.19025358718
RRL_HI  epsilon  50  228261.4397376628
RRL_HI  epsilon  51  215663.18376991333
RRL_HI  epsilon  52  203975.84462097337
RRL_HI  epsilon  53  193118.50612244025
RRL_HI  epsilon  54  183018.73167589775
RRL_HI  epsilon  55  173611.5447740161
RRL_HI  epsilon  56  164838.54730867915
RRL_HI  epsilon  57  156647.15505340928
RRL_HI  epsilon  58  148989.93307922425
RRL_HI  epsilon  59  141824.0166377104
RRL_HI  epsilon  60  135110.60533609428
RRL_HI  epsilon  61  128814.52032705107
RRL_HI  epsilon  62  122903.81581333272
RRL_HI  epsilon  63  117349.4374822789
RRL_HI  epsilon  64  112124.92158477788
RRL_HI  epsilon  65  107206.12929525191
RRL_HI  epsilon  66  102571.01176457481
RRL_HI  epsilon  67  98199.40193157944
RRL_HI  epsilon  68  94072.82971150255
RRL_HI  epsilon  69  90174.35764814985
RRL_HI  epsilon  70  86488.4345145728
RRL_HI  epsilon  71  83000.76468603246
RRL_HI  epsilon  72  79698.19139840401
RRL_HI  epsilon  73  76568.59225276877
RRL_HI  epsilon  74  73600.78553924903
RRL_HI  epsilon  75  70784.44613557981
RRL_HI  epsilon  76  68110.0298930077
RRL_HI  epsilon  77  65568.7055576567
RRL_HI  epsilon  78  63152.293392687476
RRL_HI  epsilon  79  60853.209768080524
RRL_HI  epsilon  80  58664.417072963464
RRL_HI  epsilon  81  56579.3783819762
RRL_HI  epsilon  82  54592.016373869934
RRL_HI  epsilon  83  52696.67605871569
RRL_HI  epsilon  84  50888.09092094885
RRL_HI  epsilon  85  49161.35212998066
RRL_HI  epsilon  86  47511.880509133094
RRL_HI  epsilon  87  45935.40098791147
RRL_HI  epsilon  88  44427.919292766994
RRL_HI  epsilon  89  42985.70065803667
RRL_HI  epsilon  90  41605.250362159335
RRL_HI  epsilon  91  40283.29591493883
RRL_HI  epsilon  92  39016.770739917876
RRL_HI  epsilon  93  37802.79921211967
RRL_HI  epsilon  94  36638.68292578351
RRL_HI  epsilon  95  35521.88807947599
RRL_HI  epsilon  96  34450.033877305126
RRL_HI  epsilon  97  33420.881855061016
RRL_HI  epsilon  98  32432.326049111878
RRL_HI  epsilon  99  31482.38393391545
RRL_HI  epsilon  100  30569.188061185225
RRL_HI  epsilon  101  29690.97834017084
RRL_HI  epsilon  102  28846.094904262864
RRL_HI  epsilon  103  28032.971514284916
RRL_HI  epsilon  104  27250.129453464837
RRL_HI  epsilon  105  26496.17187323047
RRL_HI  epsilon  106  25769.778552714128
RRL_HI  epsilon  107  25069.70103821547
RRL_HI  epsilon  108  24394.758131904055
RRL_HI  epsilon  109  23743.831701778505
RRL_HI  epsilon  110  23115.862787368
RRL_HI  epsilon  111  22509.84797789593
RRL_HI  epsilon  112  21924.83604164225
RRL_HI  epsilon  113  21359.924787070388
RRL_HI  epsilon  114  20814.25813794072
RRL_HI  epsilon  115  20287.023406136024
RRL_HI  epsilon  116  19777.448747287235
RRL_HI  epsilon  117  19284.80078552754
RRL_HI  epsilon  118  18808.382394830343
RRL_HI  epsilon  119  18347.5306254116
RRL_HI  epsilon  120  17901.614764611157
RRL_HI  epsilon  121  17470.034522518832
RRL_HI  epsilon  122  17052.218333389523
RRL_HI  epsilon  123  16647.62176459725
RRL_HI  epsilon  124  16255.726025529426
RRL_HI  epsilon  125  15876.036569412414
RRL_HI  epsilon  126  15508.0817816028
RRL_HI  epsilon  127  15151.411748373243
RRL_HI  epsilon  128  14805.597100678746
RRL_HI  epsilon  129  14470.227927803755
RRL_HI  epsilon  130  14144.912756173819
RRL_HI  epsilon  131  13829.277588966926
RRL_HI  epsilon  132  13522.965002481638
RRL_HI  epsilon  133  13225.633295515727
RRL_HI  epsilon  134  12936.955688282027
RRL_HI  epsilon  135  12656.61956763916
RRL_HI  epsilon  136  12384.32577564607
RRL_HI  epsilon  137  12119.787938662063
RRL_HI  epsilon  138  11862.73183441156
RRL_HI  epsilon  139  11612.894794612836
RRL_HI  epsilon  140  11370.025140938506
RRL_HI  epsilon  141  11133.88165222957
RRL_HI  epsilon  142  10904.233061028146
RRL_HI  epsilon  143  10680.857577625904
RRL_HI  epsilon  144  10463.542439947922
RRL_HI  epsilon  145  10252.083487704696
RRL_HI  epsilon  146  10046.284759350048
RRL_HI  epsilon  147  9845.958110479969
RRL_HI  epsilon  148  9650.922852397594
RRL_HI  epsilon  149  9461.00540965308
RRL_HI  epsilon  150  9276.038995445053
