#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
HI  gamma  1  3082548460.74
HI  gamma  2  690490855.206
HI  gamma  3  274004307.622
HI  gamma  4  138400134.972
HI  gamma  5  80146259.9793
HI  gamma  6  50741538.4484
HI  gamma  7  34222578.8295
HI  gamma  8  24201826.7579
HI  gamma  9  17759538.457
HI  gamma  10  13424589.7462
HI  gamma  11  10398206.9851
HI  gamma  12  8220129.22865
HI  gamma  13  6611975.24864
HI  gamma  14  5398432.44308
HI  gamma  15  4465255.38346
HI  gamma  16  3735775.48913
HI  gamma  17  3157212.26429
HI  gamma  18  2692408.16257
HI  gamma  19  2314681.20035
HI  gamma  20  2004530.56804
HI  gamma  21  1747476.45167
HI  gamma  22  1532612.52395
HI  gamma  23  1351616.8685
HI  gamma  24  1198064.10225
HI  gamma  25  1066939.22233
HI  gamma  26  954288.936619
HI  gamma  27  856968.204907
HI  gamma  28  772453.690602
HI  gamma  29  698704.87554
HI  gamma  30  634059.554827
HI  gamma  31  577154.420167
HI  gamma  32  526864.150178
HI  gamma  33  482254.291039
HI  gamma  34  442544.510226
HI  gamma  35  407079.722104
HI  gamma  36  375307.237045
HI  gamma  37  346758.555847
HI  gamma  38  321034.773061
HI  gamma  39  297794.803598
HI  gamma  40  276745.832603
HI  gamma  41  257635.527026
HI  gamma  42  240245.651429
HI  gamma  43  224386.809408
HI  gamma  44  209894.092108
HI  gamma  45  196623.461488
HI  gamma  46  184448.731598
HI  gamma  47  173259.03888
HI  gamma  48  162956.714092
HI  gamma  49  153455.485528
HI  gamma  50  144678.956591
HI  gamma  51  136559.311472
HI  gamma  52  129036.211179
HI  gamma  53  122055.848992
HI  gamma  54  115570.139895
HI  gamma  55  109536.022976
HI  gamma  56  103914.859378
HI  gamma  57  98671.9113319
HI  gamma  58  93775.8901778
HI  gamma  59  89198.5632724
HI  gamma  60  84914.4112811
HI  gamma  61  80900.3287072
HI  gamma  62  77135.3616146
HI  gamma  63  73600.4774256
HI  gamma  64  70278.362448
HI  gamma  65  67153.2434273
HI  gamma  66  64210.7299649
HI  gamma  67  61437.6750965
HI  gamma  68  58822.0517079
HI  gamma  69  56352.8427948
HI  gamma  70  54019.9438435
HI  gamma  71  51814.0758485
HI  gamma  72  49726.7076795
HI  gamma  73  47749.9866825
HI  gamma  74  45876.6765451
HI  gamma  75  44100.1015817
HI  gamma  76  42414.0967017
HI  gamma  77  40812.9624167
HI  gamma  78  39291.4243227
HI  gamma  79  37844.5965635
HI  gamma  80  36467.9488388
HI  gamma  81  35157.2765768
HI  gamma  82  33908.673932
HI  gamma  83  32718.509312
HI  gamma  84  31583.4031693
HI  gamma  85  30500.2078246
HI  gamma  86  29465.9891157
HI  gamma  87  28478.0096881
HI  gamma  88  27533.7137624
HI  gamma  89  26630.7132362
HI  gamma  90  25766.7749873
HI  gamma  91  24939.8092647
HI  gamma  92  24147.8590623
HI  gamma  93  23389.0903846
HI  gamma  94  22661.7833181
HI  gamma  95  21964.3238373
HI  gamma  96  21295.1962755
HI  gamma  97  20652.9764019
HI  gamma  98  20036.3250498
HI  gamma  99  19443.9822474
HI  gamma  100  18874.7618069
HI  gamma  101  18327.5463321
HI  gamma  102  17801.282608
HI  gamma  103  17294.9773408
HI  gamma  104  16807.6932177
HI  gamma  105  16338.54526
HI  gamma  106  15886.6974454
HI  gamma  107  15451.359577
HI  gamma  108  15031.7843793
HI  gamma  109  14627.2648025
HI  gamma  110  14237.1315187
HI  gamma  111  13860.7505945
HI  gamma  112  13497.5213261
HI  gamma  113  13146.8742252
HI  gamma  114  12808.2691424
HI  gamma  115  12481.1935184
HI  gamma  116  12165.1607545
HI  gamma  117  11859.7086906
HI  gamma  118  11564.3981855
HI  gamma  119  11278.8117899
HI  gamma  120  11002.5525071
HI  gamma  121  10735.2426326
HI  gamma  122  10476.5226697
HI  gamma  123  10226.0503132
HI  gamma  124  9983.49949792
HI  gamma  125  9748.5595071
HI  gamma  126  9520.93413564
HI  gamma  127  9300.34090572
HI  gamma  128  9086.51033016
HI  gamma  129  8879.18522077
HI  gamma  130  8678.12003837
HI  gamma  131  8483.08028185
HI  gamma  132  8293.84191352
HI  gamma  133  8110.19081845
HI  gamma  134  7931.92229544
HI  gamma  135  7758.84057771
HI  gamma  136  7590.75838116
HI  gamma  137  7427.49647868
HI  gamma  138  7268.88329858
HI  gamma  139  7114.75454582
HI  gamma  140  6964.95284448
HI  gamma  141  6819.32740013
HI  gamma  142  6677.73368095
HI  gamma  143  6540.0331164
HI  gamma  144  6406.09281224
HI  gamma  145  6275.78528117
HI  gamma  146  6148.98818785
HI  gamma  147  6025.58410763
HI  gamma  148  5905.46029812
HI  gamma  149  5788.50848277
HI  gamma  150  5674.62464586
HI  gamma  151  5563.70883815
HI  gamma  152  5455.6649926
HI  gamma  153  5350.40074956
HI  gamma  154  5247.82729097
HI  gamma  155  5147.85918283
HI  gamma  156  5050.41422581
HI  gamma  157  4955.41331319
HI  gamma  158  4862.78029603
HI  gamma  159  4772.44185487
HI  gamma  160  4684.32737787
HI  gamma  161  4598.36884484
HI  gamma  162  4514.50071697
HI  gamma  163  4432.65983184
HI  gamma  164  4352.78530347
HI  gamma  165  4274.81842722
HI  gamma  166  4198.70258912
HI  gamma  167  4124.38317952
HI  gamma  168  4051.80751079
HI  gamma  169  3980.92473888
HI  gamma  170  3911.68578844
HI  gamma  171  3844.04328152
HI  gamma  172  3777.95146942
HI  gamma  173  3713.3661677
HI  gamma  174  3650.24469414
HI  gamma  175  3588.54580952
HI  gamma  176  3528.22966095
HI  gamma  177  3469.25772787
HI  gamma  178  3411.59277035
HI  gamma  179  3355.19877965
HI  gamma  180  3300.04093107
HI  gamma  181  3246.08553871
HI  gamma  182  3193.30001228
HI  gamma  183  3141.65281576
HI  gamma  184  3091.11342781
HI  gamma  185  3041.65230388
HI  gamma  186  2993.24083995
HI  gamma  187  2945.85133777
HI  gamma  188  2899.45697158
HI  gamma  189  2854.0317562
HI  gamma  190  2809.55051647
HI  gamma  191  2765.98885795
HI  gamma  192  2723.32313881
HI  gamma  193  2681.53044286
HI  gamma  194  2640.58855373
HI  gamma  195  2600.47593007
HI  gamma  196  2561.17168168
HI  gamma  197  2522.65554673
HI  gamma  198  2484.90786979
HI  gamma  199  2447.90958076
HI  gamma  200  2411.64217463
HI  gamma  201  2376.08769205
HI  gamma  202  2341.22870066
HI  gamma  203  2307.04827711
HI  gamma  204  2273.52998981
HI  gamma  205  2240.65788237
HI  gamma  206  2208.4164576
HI  gamma  207  2176.79066219
HI  gamma  208  2145.76587196
HI  gamma  209  2115.32787761
HI  gamma  210  2085.4628711
HI  gamma  211  2056.15743248
HI  gamma  212  2027.39851719
HI  gamma  213  1999.17344391
HI  gamma  214  1971.46988279
HI  gamma  215  1944.27584416
HI  gamma  216  1917.5796676
HI  gamma  217  1891.37001145
HI  gamma  218  1865.63584269
HI  gamma  219  1840.36642721
HI  gamma  220  1815.55132037
HI  gamma  221  1791.18035793
HI  gamma  222  1767.24364735
HI  gamma  223  1743.73155931
HI  gamma  224  1720.6347196
HI  gamma  225  1697.94400127
HI  gamma  226  1675.65051701
HI  gamma  227  1653.74561192
HI  gamma  228  1632.22085639
HI  gamma  229  1611.0680393
HI  gamma  230  1590.27916145
HI  gamma  231  1569.8464292
HI  gamma  232  1549.76224834
HI  gamma  233  1530.01921816
HI  gamma  234  1510.61012571
HI  gamma  235  1491.52794029
HI  gamma  236  1472.76580807
HI  gamma  237  1454.31704694
HI  gamma  238  1436.17514152
HI  gamma  239  1418.3337383
HI  gamma  240  1400.78664098
HI  gamma  241  1383.52780597
HI  gamma  242  1366.55133797
HI  gamma  243  1349.8514858
HI  gamma  244  1333.42263826
HI  gamma  245  1317.25932019
HI  gamma  246  1301.35618864
HI  gamma  247  1285.70802917
HI  gamma  248  1270.30975221
HI  gamma  249  1255.15638964
HI  gamma  250  1240.24309142
HI  gamma  251  1225.56512227
HI  gamma  252  1211.1178586
HI  gamma  253  1196.89678536
HI  gamma  254  1182.89749315
HI  gamma  255  1169.11567532
HI  gamma  256  1155.54712517
HI  gamma  257  1142.18773328
HI  gamma  258  1129.0334849
HI  gamma  259  1116.08045737
HI  gamma  260  1103.32481774
HI  gamma  261  1090.76282029
HI  gamma  262  1078.39080433
HI  gamma  263  1066.20519185
HI  gamma  264  1054.20248545
HI  gamma  265  1042.37926613
HI  gamma  266  1030.73219134
HI  gamma  267  1019.25799293
HI  gamma  268  1007.95347525
HI  gamma  269  996.815513268
HI  gamma  270  985.841050777
HI  gamma  271  975.027098611
HI  gamma  272  964.37073295
HI  gamma  273  953.86909365
HI  gamma  274  943.519382638
HI  gamma  275  933.31886234
HI  gamma  276  923.264854167
HI  gamma  277  913.354737032
HI  gamma  278  903.585945916
HI  gamma  279  893.955970477
HI  gamma  280  884.462353692
HI  gamma  281  875.10269054
HI  gamma  282  865.874626724
HI  gamma  283  856.775857428
HI  gamma  284  847.804126106
HI  gamma  285  838.957223308
HI  gamma  286  830.232985535
HI  gamma  287  821.629294132
HI  gamma  288  813.144074203
HI  gamma  289  804.775293564
HI  gamma  290  796.520961716
HI  gamma  291  788.379128856
HI  gamma  292  780.347884907
HI  gamma  293  772.425358576
HI  gamma  294  764.60971644
HI  gamma  295  756.899162054
HI  gamma  296  749.291935086
HI  gamma  297  741.786310468
HI  gamma  298  734.380597579
HI  gamma  299  727.073139444
HI  gamma  300  719.862311956
HI  gamma  301  712.746523114
HI  gamma  302  705.724212291
HI  gamma  303  698.79384951
HI  gamma  304  691.953934746
HI  gamma  305  685.202997247
HI  gamma  306  678.539594862
HI  gamma  307  671.962313402
HI  gamma  308  665.469766007
HI  gamma  309  659.060592529
HI  gamma  310  652.733458938
HI  gamma  311  646.487056735
HI  gamma  312  640.320102386
HI  gamma  313  634.23133677
HI  gamma  314  628.219524632
HI  gamma  315  622.283454065
HI  gamma  316  616.421935992
HI  gamma  317  610.633803667
HI  gamma  318  604.917912186
HI  gamma  319  599.273138016
HI  gamma  320  593.698378524
HI  gamma  321  588.192551531
HI  gamma  322  582.754594867
HI  gamma  323  577.383465942
HI  gamma  324  572.078141327
HI  gamma  325  566.837616343
HI  gamma  326  561.660904661
HI  gamma  327  556.547037916
HI  gamma  328  551.49506532
HI  gamma  329  546.504053298
HI  gamma  330  541.573085119
HI  gamma  331  536.701260547
HI  gamma  332  531.887695495
HI  gamma  333  527.131521687
HI  gamma  334  522.431886327
HI  gamma  335  517.787951785
HI  gamma  336  513.198895274
HI  gamma  337  508.663908552
HI  gamma  338  504.182197619
HI  gamma  339  499.752982424
HI  gamma  340  495.375496584
HI  gamma  341  491.048987101
HI  gamma  342  486.772714093
HI  gamma  343  482.545950527
HI  gamma  344  478.367981962
HI  gamma  345  474.238106289
HI  gamma  346  470.15563349
HI  gamma  347  466.119885393
HI  gamma  348  462.130195436
HI  gamma  349  458.185908434
HI  gamma  350  454.286380355
HI  gamma  351  450.4309781
HI  gamma  352  446.619079282
HI  gamma  353  442.850072024
HI  gamma  354  439.123354743
HI  gamma  355  435.438335955
HI  gamma  356  431.794434075
HI  gamma  357  428.191077225
HI  gamma  358  424.627703046
HI  gamma  359  421.103758511
HI  gamma  360  417.61869975
HI  gamma  361  414.171991867
HI  gamma  362  410.763108774
HI  gamma  363  407.391533018
HI  gamma  364  404.056755619
HI  gamma  365  400.758275904
HI  gamma  366  397.495601355
HI  gamma  367  394.268247452
HI  gamma  368  391.075737521
HI  gamma  369  387.917602585
HI  gamma  370  384.793381225
HI  gamma  371  381.702619431
HI  gamma  372  378.64487047
HI  gamma  373  375.619694744
HI  gamma  374  372.626659665
HI  gamma  375  369.665339517
HI  gamma  376  366.735315335
HI  gamma  377  363.836174777
HI  gamma  378  360.967512004
HI  gamma  379  358.128927559
HI  gamma  380  355.320028252
HI  gamma  381  352.540427045
HI  gamma  382  349.789742939
HI  gamma  383  347.067600865
HI  gamma  384  344.373631578
HI  gamma  385  341.707471549
HI  gamma  386  339.068762864
HI  gamma  387  336.457153123
HI  gamma  388  333.872295341
HI  gamma  389  331.31384785
HI  gamma  390  328.781474205
HI  gamma  391  326.274843092
HI  gamma  392  323.793628236
HI  gamma  393  321.337508312
HI  gamma  394  318.906166856
HI  gamma  395  316.499292184
HI  gamma  396  314.116577301
HI  gamma  397  311.757719827
HI  gamma  398  309.422421909
HI  gamma  399  307.110390147
HI  gamma  400  304.821335514
HI  gamma  401  302.554973281
HI  gamma  402  300.311022942
HI  gamma  403  298.089208143
HI  gamma  404  295.889256609
HI  gamma  405  293.710900071
HI  gamma  406  291.553874205
HI  gamma  407  289.417918557
HI  gamma  408  287.30277648
HI  gamma  409  285.208195071
HI  gamma  410  283.133925105
HI  gamma  411  281.079720972
HI  gamma  412  279.045340618
HI  gamma  413  277.030545487
HI  gamma  414  275.035100455
HI  gamma  415  273.058773781
HI  gamma  416  271.101337044
HI  gamma  417  269.162565093
HI  gamma  418  267.242235987
HI  gamma  419  265.340130945
HI  gamma  420  263.456034294
HI  gamma  421  261.589733416
HI  gamma  422  259.741018697
HI  gamma  423  257.909683482
HI  gamma  424  256.09552402
HI  gamma  425  254.298339422
HI  gamma  426  252.517931611
HI  gamma  427  250.754105276
HI  gamma  428  249.006667831
HI  gamma  429  247.275429366
HI  gamma  430  245.560202606
HI  gamma  431  243.860802867
HI  gamma  432  242.177048018
HI  gamma  433  240.508758435
HI  gamma  434  238.855756965
HI  gamma  435  237.217868882
HI  gamma  436  235.594921853
HI  gamma  437  233.986745897
HI  gamma  438  232.393173349
HI  gamma  439  230.81403882
HI  gamma  440  229.249179168
HI  gamma  441  227.698433455
HI  gamma  442  226.161642915
HI  gamma  443  224.638650924
HI  gamma  444  223.129302957
HI  gamma  445  221.633446567
HI  gamma  446  220.150931342
HI  gamma  447  218.68160888
HI  gamma  448  217.225332755
HI  gamma  449  215.781958486
HI  gamma  450  214.351343509
HI  gamma  451  212.933347146
HI  gamma  452  211.527830577
HI  gamma  453  210.134656807
HI  gamma  454  208.753690647
HI  gamma  455  207.384798677
HI  gamma  456  206.027849223
HI  gamma  457  204.682712334
HI  gamma  458  203.349259749
HI  gamma  459  202.027364875
HI  gamma  460  200.716902761
HI  gamma  461  199.417750076
HI  gamma  462  198.129785079
HI  gamma  463  196.8528876
HI  gamma  464  195.586939015
HI  gamma  465  194.33182222
HI  gamma  466  193.087421613
HI  gamma  467  191.85362307
HI  gamma  468  190.630313919
HI  gamma  469  189.417382926
HI  gamma  470  188.214720266
HI  gamma  471  187.022217508
HI  gamma  472  185.839767591
HI  gamma  473  184.667264806
HI  gamma  474  183.504604773
HI  gamma  475  182.351684426
HI  gamma  476  181.208401989
HI  gamma  477  180.074656963
HI  gamma  478  178.9503501
HI  gamma  479  177.835383391
HI  gamma  480  176.729660046
HI  gamma  481  175.633084475
HI  gamma  482  174.545562272
HI  gamma  483  173.467000199
HI  gamma  484  172.397306167
HI  gamma  485  171.336389219
HI  gamma  486  170.284159518
HI  gamma  487  169.240528325
HI  gamma  488  168.205407991
HI  gamma  489  167.178711932
HI  gamma  490  166.160354622
HI  gamma  491  165.150251574
HI  gamma  492  164.148319325
HI  gamma  493  163.154475426
HI  gamma  494  162.16863842
HI  gamma  495  161.190727836
HI  gamma  496  160.220664169
HI  gamma  497  159.258368872
HI  gamma  498  158.303764336
HI  gamma  499  157.356773882
HI  gamma  500  156.417321749
HI  gamma  501  155.485333075
HI  gamma  502  154.560733892
HI  gamma  503  153.643451106
HI  gamma  504  152.733412491
HI  gamma  505  151.830546677
HI  gamma  506  150.934783132
HI  gamma  507  150.046052158
HI  gamma  508  149.164284873
HI  gamma  509  148.289413207
HI  gamma  510  147.421369884
HI  gamma  511  146.560088414
HI  gamma  512  145.705503084
HI  gamma  513  144.857548945
HI  gamma  514  144.016161803
HI  gamma  515  143.181278207
HI  gamma  516  142.352835443
HI  gamma  517  141.530771517
HI  gamma  518  140.715025154
HI  gamma  519  139.905535782
HI  gamma  520  139.102243523
HI  gamma  521  138.305089189
HI  gamma  522  137.514014267
HI  gamma  523  136.728960911
HI  gamma  524  135.949871936
HI  gamma  525  135.176690807
HI  gamma  526  134.40936163
HI  gamma  527  133.647829146
HI  gamma  528  132.89203872
HI  gamma  529  132.141936333
HI  gamma  530  131.397468577
HI  gamma  531  130.658582642
HI  gamma  532  129.925226312
HI  gamma  533  129.197347956
HI  gamma  534  128.474896522
HI  gamma  535  127.757821524
HI  gamma  536  127.046073043
HI  gamma  537  126.339601712
HI  gamma  538  125.638358713
HI  gamma  539  124.94229577
HI  gamma  540  124.251365139
HI  gamma  541  123.565519604
HI  gamma  542  122.88471247
HI  gamma  543  122.208897556
HI  gamma  544  121.538029184
HI  gamma  545  120.872062182
HI  gamma  546  120.210951869
HI  gamma  547  119.554654053
HI  gamma  548  118.903125023
HI  gamma  549  118.256321543
HI  gamma  550  117.614200848
HI  gamma  551  116.976720637
HI  gamma  552  116.343839064
HI  gamma  553  115.715514737
HI  gamma  554  115.09170671
HI  gamma  555  114.472374478
HI  gamma  556  113.857477971
HI  gamma  557  113.246977548
HI  gamma  558  112.640833993
HI  gamma  559  112.039008508
HI  gamma  560  111.441462711
HI  gamma  561  110.848158627
HI  gamma  562  110.259058685
HI  gamma  563  109.674125712
HI  gamma  564  109.093322931
HI  gamma  565  108.51661395
HI  gamma  566  107.943962766
HI  gamma  567  107.37533375
HI  gamma  568  106.810691653
HI  gamma  569  106.250001591
HI  gamma  570  105.69322905
HI  gamma  571  105.140339874
HI  gamma  572  104.591300265
HI  gamma  573  104.046076777
HI  gamma  574  103.504636313
HI  gamma  575  102.966946119
HI  gamma  576  102.432973781
HI  gamma  577  101.90268722
HI  gamma  578  101.376054689
HI  gamma  579  100.85304477
HI  gamma  580  100.333626366
HI  gamma  581  99.8177687015
HI  gamma  582  99.3054413165
HI  gamma  583  98.7966140629
HI  gamma  584  98.2912571016
HI  gamma  585  97.7893408976
HI  gamma  586  97.2908362175
HI  gamma  587  96.7957141252
HI  gamma  588  96.3039459787
HI  gamma  589  95.8155034265
HI  gamma  590  95.3303584042
HI  gamma  591  94.8484831313
HI  gamma  592  94.3698501074
HI  gamma  593  93.8944321094
HI  gamma  594  93.4222021878
HI  gamma  595  92.953133664
HI  gamma  596  92.4872001268
HI  gamma  597  92.0243754291
HI  gamma  598  91.5646336853
HI  gamma  599  91.1079492679
HI  gamma  600  90.6542968048
HI  gamma  601  90.2036511758
HI  gamma  602  89.7559875103
HI  gamma  603  89.3112811841
HI  gamma  604  88.8695078167
HI  gamma  605  88.4306432682
HI  gamma  606  87.9946636367
HI  gamma  607  87.5615452559
HI  gamma  608  87.1312646919
