#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
HeI  alpha  1  2467042994.8204575
HeI  alpha  2  456859813.85564023
HeI  alpha  3  159900934.84947407
HeI  alpha  4  74011289.84461372
HeI  alpha  5  40203663.61929635
HeI  alpha  6  24241541.143360503
HeI  alpha  7  15733692.569008013
HeI  alpha  8  10786967.827147063
HeI  alpha  9  7715854.634006365
HeI  alpha  10  5708859.822725025
HeI  alpha  11  4342056.082099062
HeI  alpha  12  3379140.635026924
HeI  alpha  13  2681244.6508132014
HeI  alpha  14  2163091.3635613974
HeI  alpha  15  1770331.778690606
HeI  alpha  16  1467207.663442097
HeI  alpha  17  1229534.293344669
HeI  alpha  18  1040554.8238017039
HeI  alpha  19  888408.8346998874
HeI  alpha  20  764540.9129829081
HeI  alpha  21  662674.0426983482
HeI  alpha  22  578131.9021123102
HeI  alpha  23  507382.11841245537
HeI  alpha  24  447722.61757852684
HeI  alpha  25  397062.5411782041
HeI  alpha  26  353766.8220373869
HeI  alpha  27  316544.3406659135
HeI  alpha  28  284366.3817466372
HeI  alpha  29  256406.45914371213
HeI  alpha  30  231995.4101577025
HeI  alpha  31  210587.53451494896
HeI  alpha  32  191734.81340790688
HeI  alpha  33  175067.1024526173
HeI  alpha  34  160276.7852012443
HeI  alpha  35  147106.78813492294
HeI  alpha  36  135341.15092712318
HeI  alpha  37  124797.55502330279
HeI  alpha  38  115321.36460812099
HeI  alpha  39  106780.84406685088
HeI  alpha  40  99063.29693657393
HeI  alpha  41  92071.9313091531
HeI  alpha  42  85723.3014596514
HeI  alpha  43  79945.20921493563
HeI  alpha  44  74674.97416556839
HeI  alpha  45  69858.00136250915
HeI  alpha  46  65446.59015612727
HeI  alpha  47  61398.93944698657
HeI  alpha  48  57678.31365055836
HeI  alpha  49  54252.34074407335
HeI  alpha  50  51092.41932115675
HeI  alpha  51  48173.21597339429
HeI  alpha  52  45472.237808478996
HeI  alpha  53  42969.46770086773
HeI  alpha  54  40647.05210510322
HeI  alpha  55  38489.03306137515
HeI  alpha  56  36481.11747815541
HeI  alpha  57  34610.47795850389
HeI  alpha  58  32865.58039993476
HeI  alpha  59  31236.03438599327
HeI  alpha  60  29712.463034954373
HeI  alpha  61  28286.389504471255
HeI  alpha  62  26950.137792008525
HeI  alpha  63  25696.74583672871
HeI  alpha  64  24519.88923291413
HeI  alpha  65  23413.814119062594
HeI  alpha  66  22373.278019474612
HeI  alpha  67  21393.497593679716
HeI  alpha  68  20470.102399324605
HeI  alpha  69  19599.093900986467
HeI  alpha  70  18776.809064699937
HeI  alpha  71  17999.8879690308
HeI  alpha  72  17265.244940959215
HeI  alpha  73  16570.042790821575
HeI  alpha  74  15911.669776944414
HeI  alpha  75  15287.718978881285
HeI  alpha  76  14695.969799581691
HeI  alpha  77  14134.371352448556
HeI  alpha  78  13601.027519928955
HeI  alpha  79  13094.183496783766
HeI  alpha  80  12612.213654108036
HeI  alpha  81  12153.610580035447
HeI  alpha  82  11716.975170317895
HeI  alpha  83  11301.007656970378
HeI  alpha  84  10904.499476252102
HeI  alpha  85  10526.325888660747
HeI  alpha  86  10165.439273602386
HeI  alpha  87  9820.863030131522
HeI  alpha  88  9491.68602282297
HeI  alpha  89  9177.057518569125
HeI  alpha  90  8876.18256602086
HeI  alpha  91  8588.317774606428
HeI  alpha  92  8312.767454673056
HeI  alpha  93  8048.8800843587605
HeI  alpha  94  7796.045072409097
HeI  alpha  95  7553.689789337546
HeI  alpha  96  7321.276842163926
HeI  alpha  97  7098.301570475664
HeI  alpha  98  6884.289743794489
HeI  alpha  99  6678.795442223848
HeI  alpha  100  6481.399104125932
