#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
HeI  beta  1  2923902808.6760974
HeI  beta  2  616760748.7051144
HeI  beta  3  233912224.69408774
HeI  beta  4  114214953.46391006
HeI  beta  5  64445204.76265685
HeI  beta  6  39975233.71236852
HeI  beta  7  26520660.396155074
HeI  beta  8  18502822.46115343
HeI  beta  9  13424714.45673139
HeI  beta  10  10050915.904824087
HeI  beta  11  7721196.717125986
HeI  beta  12  6060385.285840126
HeI  beta  13  4844336.014374599
HeI  beta  14  3933423.1422520033
HeI  beta  15  3237539.4421327026
HeI  beta  16  2696741.9567867657
HeI  beta  17  2270089.117146373
HeI  beta  18  1928963.6585015913
HeI  beta  19  1652949.7476827956
HeI  beta  20  1427214.9556812563
HeI  beta  21  1240805.9448106582
HeI  beta  22  1085514.0205247656
HeI  beta  23  955104.7359909823
HeI  beta  24  844785.158756731
HeI  beta  25  750829.3632155911
HeI  beta  26  670311.1627033004
HeI  beta  27  600910.7224125507
HeI  beta  28  540772.8408903494
HeI  beta  29  488401.86930141464
HeI  beta  30  442582.9446726515
HeI  beta  31  402322.3479228559
HeI  beta  32  366801.9158605242
HeI  beta  33  335343.8876538616
HeI  beta  34  307383.57333616726
HeI  beta  35  282447.9390620461
HeI  beta  36  260138.70595042597
HeI  beta  37  240118.91963142378
HeI  beta  38  222102.20867497186
HeI  beta  39  205844.14100342483
HeI  beta  40  191135.22824572702
HeI  beta  41  177795.2327688045
HeI  beta  42  165668.51067458704
HeI  beta  43  154620.18338050402
HeI  beta  44  144532.97552807754
HeI  beta  45  135304.5915186364
HeI  beta  46  126845.52960311384
HeI  beta  47  119077.25309754493
HeI  beta  48  111930.65439463171
HeI  beta  49  105344.7600652301
HeI  beta  50  99265.63529455103
HeI  beta  51  93645.45378187328
HeI  beta  52  88441.70550934672
HeI  beta  53  83616.51980597095
HeI  beta  54  79136.08516647837
HeI  beta  55  74970.15053953056
HeI  beta  56  71091.5954366593
HeI  beta  57  67476.05835843866
HeI  beta  58  64101.61478592803
HeI  beta  59  60948.49742094764
HeI  beta  60  57998.85253942563
HeI  beta  61  55236.52729647978
HeI  beta  62  52646.88362873724
HeI  beta  63  50216.63506964284
HeI  beta  64  47933.70335197672
HeI  beta  65  45787.092138537206
HeI  beta  66  43766.77561315433
HeI  beta  67  41863.599993004325
HeI  beta  68  40069.19630031107
HeI  beta  69  38375.9029656864
HeI  beta  70  36776.697033730736
HeI  beta  71  35265.13290999002
HeI  beta  72  33835.287731780794
HeI  beta  73  32481.712567765993
HeI  beta  74  31199.388755825697
HeI  beta  75  29983.688778462976
HeI  beta  76  28830.341152030247
HeI  beta  77  27735.39887237751
HeI  beta  78  26695.21101671272
HeI  beta  79  25706.3971508918
HeI  beta  80  24765.82423414348
HeI  beta  81  23870.58575035334
HeI  beta  82  23017.982827288273
HeI  beta  83  22205.50713322248
HeI  beta  84  21430.82536491285
HeI  beta  85  20691.76516226313
HeI  beta  86  19986.302303733908
HeI  beta  87  19312.549052954495
HeI  beta  88  18668.743541392098
HeI  beta  89  18053.240084589983
HeI  beta  90  17464.500340627288
HeI  beta  91  16901.085229279484
HeI  beta  92  16361.647539031817
HeI  beta  93  15844.925156767857
HeI  beta  94  15349.734861746643
HeI  beta  95  14874.966631501473
HeI  beta  96  14419.57841263959
HeI  beta  97  13982.591314270154
HeI  beta  98  13563.085186018337
HeI  beta  99  13160.194546349781
HeI  beta  100  12773.104830289187
HeI  beta  101  12401.04892862186
HeI  beta  102  12043.303993348572
HeI  beta  103  11699.188486568542
HeI  beta  104  11368.059452119749
HeI  beta  105  11049.309991235881
HeI  beta  106  10742.366925216933
HeI  beta  107  10446.688629669208
HeI  beta  108  10161.763026275805
HeI  beta  109  9887.10571932226
HeI  beta  110  9622.258265343788
HeI  beta  111  9366.786565290922
HeI  beta  112  9120.279369538852
HeI  beta  113  8882.346886908086
HeI  beta  114  8652.619489625973
HeI  beta  115  8430.74650684807
HeI  beta  116  8216.39509998369
HeI  beta  117  8009.249213637889
HeI  beta  118  7809.008596498317
HeI  beta  119  7615.387886963989
HeI  beta  120  7428.115758738593
HeI  beta  121  7246.934122000904
HeI  beta  122  7071.597376117814
HeI  beta  123  6901.871710188428
HeI  beta  124  6737.534448002131
HeI  beta  125  6578.37343426361
HeI  beta  126  6424.186459182178
HeI  beta  127  6274.780718748455
HeI  beta  128  6129.972308228533
HeI  beta  129  5989.585746592079
HeI  beta  130  5853.453529765648
HeI  beta  131  5721.415710760331
HeI  beta  132  5593.319504868653
HeI  beta  133  5469.018918259134
HeI  beta  134  5348.374398419929
HeI  beta  135  5231.252505016478
HeI  beta  136  5117.525599831151
HeI  beta  137  5007.071554549637
HeI  beta  138  4899.773475246617
HeI  beta  139  4795.519442504587
HeI  beta  140  4694.202266174984
HeI  beta  141  4595.719253860018
HeI  beta  142  4499.9719922577
HeI  beta  143  4406.8661405713065
HeI  beta  144  4316.311235239804
HeI  beta  145  4228.2205052959
HeI  beta  146  4142.510697705394
HeI  beta  147  4059.1019120850624
HeI  beta  148  3977.9174442361036
HeI  beta  149  3898.883637967781
HeI  beta  150  3821.929744720321
HeI  beta  151  3746.987790528286
HeI  beta  152  3673.992449895423
HeI  beta  153  3602.8809261795777
HeI  beta  154  3533.592838112139
HeI  beta  155  3466.0701121002226
HeI  beta  156  3400.256879982239
HeI  beta  157  3336.099381928332
HeI  beta  158  3273.5458741959415
HeI  beta  159  3212.546541469074
HeI  beta  160  3153.053413527009
HeI  beta  161  3095.02028600307
HeI  beta  162  3038.402645008862
HeI  beta  163  2983.157595413523
HeI  beta  164  2929.243792579474
HeI  beta  165  2876.6213773683894
HeI  beta  166  2825.2519142425945
HeI  beta  167  2775.098332296479
HeI  beta  168  2726.1248690630255
HeI  beta  169  2678.2970169496284
HeI  beta  170  2631.581472165187
HeI  beta  171  2585.946086009228
HeI  beta  172  2541.3598184005964
HeI  beta  173  2497.792693530758
HeI  beta  174  2455.2157575328806
HeI  beta  175  2413.601038064317
HeI  beta  176  2372.9215057057427
HeI  beta  177  2333.1510370853293
HeI  beta  178  2294.2643796422813
HeI  beta  179  2256.237117947584
HeI  beta  180  2219.045641505215
HeI  beta  181  2182.667113961256
HeI  beta  182  2147.079443651607
HeI  beta  183  2112.261255423351
HeI  beta  184  2078.191863668264
HeI  beta  185  2044.8512465099968
HeI  beta  186  2012.2200210896901
HeI  beta  187  1980.2794198977538
HeI  beta  188  1949.0112681022742
HeI  beta  189  1918.3979618269584
HeI  beta  190  1888.4224473343866
HeI  beta  191  1859.0682010719902
HeI  beta  192  1830.3192105409814
HeI  beta  193  1802.1599559502497
HeI  beta  194  1774.575392618916
HeI  beta  195  1747.550934093754
HeI  beta  196  1721.0724359486223
HeI  beta  197  1695.1261802352394
HeI  beta  198  1669.698860555962
HeI  beta  199  1644.7775677307022
HeI  beta  200  1620.349776031483
HeI  beta  201  1596.4033299594973
HeI  beta  202  1572.9264315408134
HeI  beta  203  1549.9076281177956
HeI  beta  204  1527.3358006146518
HeI  beta  205  1505.2001522565083
HeI  beta  206  1483.4901977224913
HeI  beta  207  1462.1957527138654
HeI  beta  208  1441.306923919644
HeI  beta  209  1420.814099362741
HeI  beta  210  1400.707939110293
HeI  beta  211  1380.9793663330074
HeI  beta  212  1361.6195586986773
HeI  beta  213  1342.6199400860683
HeI  beta  214  1323.9721726055557
HeI  beta  215  1305.6681489139899
HeI  beta  216  1287.6999848117462
HeI  beta  217  1270.0600121099424
HeI  beta  218  1252.7407717572053
HeI  beta  219  1235.7350072153056
HeI  beta  220  1219.0356580733599
HeI  beta  221  1202.6358538911813
HeI  beta  222  1186.5289082625868
HeI  beta  223  1170.708313089733
HeI  beta  224  1155.1677330601435
HeI  beta  225  1139.9010003183485
HeI  beta  226  1124.9021093245694
HeI  beta  227  1110.165211892959
HeI  beta  228  1095.6846124024519
HeI  beta  229  1081.4547631734638
HeI  beta  230  1067.4702600040414
HeI  beta  231  1053.7258378592517
HeI  beta  232  1040.216366707976
HeI  beta  233  1026.9368475014328
HeI  beta  234  1013.8824082879466
HeI  beta  235  1001.0483004590376
HeI  beta  236  988.4298951215256
HeI  beta  237  976.022679591137
HeI  beta  238  963.8222540030536
HeI  beta  239  951.8243280348696
HeI  beta  240  940.0247177379438
HeI  beta  241  928.4193424730898
HeI  beta  242  917.0042219467047
HeI  beta  243  905.7754733436672
HeI  beta  244  894.7293085535213
HeI  beta  245  883.8620314864623
HeI  beta  246  873.1700354759322
HeI  beta  247  862.6498007646777
HeI  beta  248  852.2978920711747
HeI  beta  249  842.1109562337326
HeI  beta  250  832.0857199293581
HeI  beta  251  822.2189874646938
HeI  beta  252  812.5076386365442
HeI  beta  253  802.9486266596296
HeI  beta  254  793.5389761590002
HeI  beta  255  784.275781224903
HeI  beta  256  775.1562035281136
HeI  beta  257  766.1774704933724
HeI  beta  258  757.3368735290196
HeI  beta  259  748.6317663109659
HeI  beta  260  740.0595631190001
HeI  beta  261  731.6177372237341
HeI  beta  262  723.303819322412
HeI  beta  263  715.1153960219619
HeI  beta  264  707.0501083676709
HeI  beta  265  699.1056504159087
HeI  beta  266  691.2797678494923
HeI  beta  267  683.5702566342419
HeI  beta  268  675.9749617152913
HeI  beta  269  668.4917757519363
HeI  beta  270  661.1186378896911
HeI  beta  271  653.8535325682639
HeI  beta  272  646.6944883644284
HeI  beta  273  639.6395768684905
HeI  beta  274  632.6869115933595
HeI  beta  275  625.8346469151151
HeI  beta  276  619.0809770440499
HeI  beta  277  612.4241350252292
HeI  beta  278  605.8623917676044
HeI  beta  279  599.3940551007922
HeI  beta  280  593.0174688585421
HeI  beta  281  586.7310119881982
HeI  beta  282  580.5330976852039
HeI  beta  283  574.4221725518795
HeI  beta  284  568.3967157798007
HeI  beta  285  562.4552383548834
HeI  beta  286  556.5962822846243
HeI  beta  287  550.8184198466801
HeI  beta  288  545.1202528582023
HeI  beta  289  539.5004119652731
HeI  beta  290  533.9575559517485
HeI  beta  291  528.4903710670612
HeI  beta  292  523.0975703722264
HeI  beta  293  517.7778931036528
HeI  beta  294  512.5301040541221
HeI  beta  295  507.35299297040797
HeI  beta  296  502.24537396714345
HeI  beta  297  497.2060849562923
HeI  beta  298  492.23398709188245
HeI  beta  299  487.32796422950156
HeI  beta  300  482.4869224000627
HeI  beta  301  477.70978929751334
HeI  beta  302  472.9955137800175
HeI  beta  303  468.34306538418383
HeI  beta  304  463.751433852054
HeI  beta  305  459.219628670362
HeI  beta  306  454.7466786218017
HeI  beta  307  450.3316313478856
HeI  beta  308  445.97355292309277
HeI  beta  309  441.6715274399893
HeI  beta  310  437.4246566049419
HeI  beta  311  433.2320593442241
HeI  beta  312  429.09287142011374
HeI  beta  313  425.00624505673693
HeI  beta  314  420.971348575446
HeI  beta  315  416.9873660393201
HeI  beta  316  413.05349690663706
HeI  beta  317  409.1689556930886
HeI  beta  318  405.3329716423483
HeI  beta  319  401.54478840491527
HeI  beta  320  397.8036637249201
HeI  beta  321  394.1088691346884
HeI  beta  322  390.4596896568321
HeI  beta  323  386.8554235137022
HeI  beta  324  383.29538184393533
HeI  beta  325  379.7788884259658
HeI  beta  326  376.30527940828006
HeI  beta  327  372.87390304620817
HeI  beta  328  369.48411944510065
HeI  beta  329  366.13530030974147
HeI  beta  330  362.8268286997678
HeI  beta  331  359.55809879096324
HeI  beta  332  356.3285156423295
HeI  beta  333  353.13749496860817
HeI  beta  334  349.9844629183192
HeI  beta  335  346.8688558570484
HeI  beta  336  343.7901201558005
HeI  beta  337  340.7477119844452
HeI  beta  338  337.74109710995594
HeI  beta  339  334.7697506993791
HeI  beta  340  331.8331571274512
HeI  beta  341  328.93080978869034
HeI  beta  342  326.0622109138455
HeI  beta  343  323.22687139060855
HeI  beta  344  320.42431058846154
HeI  beta  345  317.65405618757995
HeI  beta  346  314.91564401168756
HeI  beta  347  312.20861786467214
HeI  beta  348  309.5325293710019
HeI  beta  349  306.8869378197582
HeI  beta  350  304.2714100122183
HeI  beta  351  301.68552011288705
HeI  beta  352  299.1288495038609
HeI  beta  353  296.60098664255815
HeI  beta  354  294.10152692257475
HeI  beta  355  291.6300725376499
HeI  beta  356  289.1862323487576
HeI  beta  357  286.76962175406254
HeI  beta  358  284.3798625618128
HeI  beta  359  282.01658286605726
HeI  beta  360  279.6794169250832
HeI  beta  361  277.3680050425472
HeI  beta  362  275.08199345122046
HeI  beta  363  272.8210341992854
HeI  beta  364  270.58478503909345
HeI  beta  365  268.3729093183766
HeI  beta  366  266.18507587380833
HeI  beta  367  264.0209589268825
HeI  beta  368  261.8802379820294
HeI  beta  369  259.76259772693885
HeI  beta  370  257.6677279350366
HeI  beta  371  255.59532337001764
HeI  beta  372  253.54508369246258
HeI  beta  373  251.51671336842497
HeI  beta  374  249.50992157995998
HeI  beta  375  247.52442213757
HeI  beta  376  245.55993339447843
HeI  beta  377  243.6161781627391
HeI  beta  378  241.6928836310901
HeI  beta  379  239.78978128453795
HeI  beta  380  237.90660682564953
HeI  beta  381  236.0431000974517
HeI  beta  382  234.1990050079471
HeI  beta  383  232.3740694562178
HeI  beta  384  230.56804526005044
HeI  beta  385  228.78068808504645
HeI  beta  386  227.01175737519495
HeI  beta  387  225.26101628489994
HeI  beta  388  223.5282316123675
HeI  beta  389  221.8131737343718
HeI  beta  390  220.1156165423615
HeI  beta  391  218.43533737984782
HeI  beta  392  216.77211698107698
HeI  beta  393  215.12573941093405
HeI  beta  394  213.49599200607864
HeI  beta  395  211.88266531725043
HeI  beta  396  210.28555305273122
HeI  beta  397  208.70445202296597
HeI  beta  398  207.13916208625932
HeI  beta  399  205.589486095581
HeI  beta  400  204.05522984641624
HeI  beta  401  202.53620202564395
HeI  beta  402  201.03221416145456
HeI  beta  403  199.5430805742316
HeI  beta  404  198.0686183284198
HeI  beta  405  196.60864718530968
HeI  beta  406  195.16298955678354
HeI  beta  407  193.7314704599557
HeI  beta  408  192.3139174726654
HeI  beta  409  190.91016068989757
HeI  beta  410  189.52003268099756
HeI  beta  411  188.1433684477217
HeI  beta  412  186.7800053831295
HeI  beta  413  185.42978323124737
HeI  beta  414  184.0925440474933
HeI  beta  415  182.76813215988136
HeI  beta  416  181.45639413097305
HeI  beta  417  180.15717872053926
HeI  beta  418  178.870336848938
HeI  beta  419  177.59572156119174
HeI  beta  420  176.33318799174728
HeI  beta  421  175.0825933298903
HeI  beta  422  173.843796785826
HeI  beta  423  172.61665955740025
HeI  beta  424  171.4010447974259
HeI  beta  425  170.19681758163526
HeI  beta  426  169.00384487724347
HeI  beta  427  167.82199551207702
HeI  beta  428  166.6511401442736
HeI  beta  429  165.49115123256695
HeI  beta  430  164.34190300711535
HeI  beta  431  163.20327144085064
HeI  beta  432  162.0751342213821
HeI  beta  433  160.9573707233933
HeI  beta  434  159.84986198155445
HeI  beta  435  158.7524906639419
HeI  beta  436  157.6651410459311
HeI  beta  437  156.58769898456075
HeI  beta  438  155.52005189337018
HeI  beta  439  154.4620887177109
HeI  beta  440  153.41369991045624
HeI  beta  441  152.37477740820404
HeI  beta  442  151.34521460788375
HeI  beta  443  150.3249063437617
HeI  beta  444  149.3137488649116
HeI  beta  445  148.31163981303905
HeI  beta  446  147.31847820073514
HeI  beta  447  146.33416439008656
HeI  beta  448  145.35860007169813
HeI  beta  449  144.39168824407196
HeI  beta  450  143.43333319333775
HeI  beta  451  142.48344047337298
HeI  beta  452  141.54191688624937
HeI  beta  453  140.60867046303005
HeI  beta  454  139.68361044489302
HeI  beta  455  138.76664726461388
HeI  beta  456  137.85769252834675
HeI  beta  457  136.95665899771998
HeI  beta  458  136.0634605722662
HeI  beta  459  135.17801227212834
HeI  beta  460  134.30023022109978
HeI  beta  461  133.43003162992937
HeI  beta  462  132.5673347799106
HeI  beta  463  131.71205900678552
HeI  beta  464  130.86412468490235
HeI  beta  465  130.02345321163764
HeI  beta  466  129.18996699209168
HeI  beta  467  128.36358942406778
HeI  beta  468  127.54424488326653
HeI  beta  469  126.73185870876374
HeI  beta  470  125.92635718872013
HeI  beta  471  125.12766754633586
HeI  beta  472  124.33571792603927
HeI  beta  473  123.5504373799096
HeI  beta  474  122.77175585434215
HeI  beta  475  121.99960417690288
HeI  beta  476  121.23391404344211
HeI  beta  477  120.47461800540053
HeI  beta  478  119.72164945732129
HeI  beta  479  118.97494262459627
HeI  beta  480  118.23443255139611
HeI  beta  481  117.5000550887898
HeI  beta  482  116.77174688308983
HeI  beta  483  116.0494453643731
HeI  beta  484  115.33308873518263
HeI  beta  485  114.6226159594357
HeI  beta  486  113.91796675149352
HeI  beta  487  113.21908156542024
HeI  beta  488  112.52590158442328
HeI  beta  489  111.8383687104495
HeI  beta  490  111.15642555395704
HeI  beta  491  110.48001542386534
HeI  beta  492  109.80908231765854
HeI  beta  493  109.1435709116337
HeI  beta  494  108.48342655132451
HeI  beta  495  107.82859524209505
HeI  beta  496  107.17902363984491
HeI  beta  497  106.5346590418788
HeI  beta  498  105.89544937794876
HeI  beta  499  105.26134320140243
HeI  beta  500  104.63228968048438
HeI  beta  501  104.00823858979638
HeI  beta  502  103.38914030185515
HeI  beta  503  102.77494577881725
HeI  beta  504  102.1656065643183
HeI  beta  505  101.56107477544016
HeI  beta  506  100.96130309481778
HeI  beta  507  100.36624476286264
HeI  beta  508  99.77585357008962
HeI  beta  509  99.19008384959973
HeI  beta  510  98.60889046966044
HeI  beta  511  98.03222882638478
HeI  beta  512  97.4600548365653
HeI  beta  513  96.89232493058728
HeI  beta  514  96.32899604546307
HeI  beta  515  95.7700256179642
HeI  beta  516  95.21537157788003
HeI  beta  517  94.66499234136151
HeI  beta  518  94.11884680437487
HeI  beta  519  93.5768943362586
HeI  beta  520  93.0390947733666
HeI  beta  521  92.50540841282702
HeI  beta  522  91.97579600638343
HeI  beta  523  91.45021875433189
HeI  beta  524  90.92863829955012
HeI  beta  525  90.41101672162273
HeI  beta  526  89.89731653105288
HeI  beta  527  89.3875006635547
HeI  beta  528  88.88153247443759
HeI  beta  529  88.37937573308125
HeI  beta  530  87.88099461748014
HeI  beta  531  87.3863537088815
HeI  beta  532  86.89541798649704
HeI  beta  533  86.4081528222955
HeI  beta  534  85.92452397587601
HeI  beta  535  85.4444975894139
HeI  beta  536  84.96804018268446
HeI  beta  537  84.49511864814805
HeI  beta  538  84.02570024613838
HeI  beta  539  83.55975260008958
HeI  beta  540  83.0972436918457
HeI  beta  541  82.63814185704946
HeI  beta  542  82.18241578057705
HeI  beta  543  81.7300344920662
HeI  beta  544  81.2809673614889
HeI  beta  545  80.83518409479383
HeI  beta  546  80.39265472961819
HeI  beta  547  79.95334963105836
HeI  beta  548  79.51723948750444
HeI  beta  549  79.08429530652639
HeI  beta  550  78.65448841083543
HeI  beta  551  78.22779043428439
HeI  beta  552  77.80417331794332
HeI  beta  553  77.38360930622667
HeI  beta  554  76.96607094306914
HeI  beta  555  76.55153106816016
HeI  beta  556  76.13996281323818
HeI  beta  557  75.73133959843518
HeI  beta  558  75.32563512866291
HeI  beta  559  74.9228233900716
HeI  beta  560  74.52287864653513
HeI  beta  561  74.12577543620314
HeI  beta  562  73.7314885681004
HeI  beta  563  73.3399931187666
HeI  beta  564  72.95126442894917
HeI  beta  565  72.56527810033776
HeI  beta  566  72.1820099923518
HeI  beta  567  71.80143621897388
HeI  beta  568  71.42353314561808
HeI  beta  569  71.04827738604564
HeI  beta  570  70.67564579933212
HeI  beta  571  70.30561548686384
HeI  beta  572  69.93816378938872
HeI  beta  573  69.57326828410186
HeI  beta  574  69.21090678176733
HeI  beta  575  68.8510573238847
HeI  beta  576  68.49369817990268
HeI  beta  577  68.13880784445664
HeI  beta  578  67.78636503464791
HeI  beta  579  67.43634868737313
HeI  beta  580  67.08873795667034
HeI  beta  581  66.74351221111957
HeI  beta  582  66.40065103126679
HeI  beta  583  66.06013420709
HeI  beta  584  65.72194173549852
HeI  beta  585  65.38605381785607
HeI  beta  586  65.05245085755807
HeI  beta  587  64.72111345763146
HeI  beta  588  64.39202241835513
HeI  beta  589  64.06515873492927
HeI  beta  590  63.74050359517542
HeI  beta  591  63.41803837725447
HeI  beta  592  63.09774464742658
HeI  beta  593  62.77960415784447
HeI  beta  594  62.46359884435928
HeI  beta  595  62.14971082437241
HeI  beta  596  61.83792239471378
HeI  beta  597  61.52821602953685
HeI  beta  598  61.220574378256835
HeI  beta  599  60.914980263505576
