#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
HeI  gamma  1  3083803743.5255713
HeI  gamma  2  690772038.549728
HeI  gamma  3  274115888.3133841
HeI  gamma  4  138456494.60727057
HeI  gamma  5  80178897.33166486
HeI  gamma  6  50762201.53951558
HeI  gamma  7  34236515.03016144
HeI  gamma  8  24211682.283878453
HeI  gamma  9  17766770.53883045
HeI  gamma  10  13430056.539851012
HeI  gamma  11  10402441.367939187
HeI  gamma  12  8223476.649401523
HeI  gamma  13  6614667.793065204
HeI  gamma  14  5400630.8056941
HeI  gamma  15  4467073.735477372
HeI  gamma  16  3737296.7805884695
HeI  gamma  17  3158497.95184626
HeI  gamma  18  2693504.5714844996
HeI  gamma  19  2315623.790381144
HeI  gamma  20  2005346.8577935663
HeI  gamma  21  1748188.0632231135
HeI  gamma  22  1533236.6381032923
HeI  gamma  23  1352167.2771691864
HeI  gamma  24  1198551.9807941178
HeI  gamma  25  1067373.7038815045
HeI  gamma  26  954677.5444499376
HeI  gamma  27  857317.1815562628
HeI  gamma  28  772768.2510480519
HeI  gamma  29  698989.4038163635
HeI  gamma  30  634317.7580805584
HeI  gamma  31  577389.4503754731
HeI  gamma  32  527078.7010617685
HeI  gamma  33  482450.6757887846
HeI  gamma  34  442724.7242632904
HeI  gamma  35  407245.4940853489
HeI  gamma  36  375460.0705585469
HeI  gamma  37  346899.7636982747
HeI  gamma  38  321165.5056115458
HeI  gamma  39  297916.0723125779
HeI  gamma  40  276858.5297053784
HeI  gamma  41  257740.44198374014
HeI  gamma  42  240343.4848401554
HeI  gamma  43  224478.18474301317
HeI  gamma  44  209979.5656842048
HeI  gamma  45  196703.53096562298
HeI  gamma  46  184523.8432536722
HeI  gamma  47  173329.59384161828
HeI  gamma  48  163023.07371578846
HeI  gamma  49  153517.9760386244
HeI  gamma  50  144737.87310303003
HeI  gamma  51  136614.92148274102
HeI  gamma  52  129088.75761444995
HeI  gamma  53  122105.55286734611
HeI  gamma  54  115617.20264463378
HeI  gamma  55  109580.62849803445
HeI  gamma  56  103957.17583659406
HeI  gamma  57  98712.09274443192
HeI  gamma  58  93814.0778208824
HeI  gamma  59  89234.88692541889
HeI  gamma  60  84948.99033143415
HeI  gamma  61  80933.2731332085
HeI  gamma  62  77166.77286165136
HeI  gamma  63  73630.44918870543
HeI  gamma  64  70306.98137145133
HeI  gamma  65  67180.58973221692
HeI  gamma  66  64236.878012478934
HeI  gamma  67  61462.69389399079
HeI  gamma  68  58846.005365011006
HeI  gamma  69  56375.7909347172
HeI  gamma  70  54041.94197468995
HeI  gamma  71  51835.17570081159
HeI  gamma  72  49746.95750872521
HeI  gamma  73  47769.431546647276
HeI  gamma  74  45895.35855540739
HeI  gamma  75  44118.06013091153
HeI  gamma  76  42431.3686719592
HeI  gamma  77  40829.582369161275
HeI  gamma  78  39307.42467082076
HeI  gamma  79  37860.007730927246
HeI  gamma  80  36482.79940446138
HeI  gamma  81  35171.59340732372
HeI  gamma  82  33922.482303540375
HeI  gamma  83  32731.833021883227
HeI  gamma  84  31596.264638515233
HeI  gamma  85  30512.628192394655
HeI  gamma  86  29477.98832655688
HeI  gamma  87  28489.60657152362
HeI  gamma  88  27544.926107412954
HeI  gamma  89  26641.55785919641
HeI  gamma  90  25777.267795300344
HeI  gamma  91  24949.965313638248
HeI  gamma  92  24157.692611440914
HeI  gamma  93  23398.614946105405
HeI  gamma  94  22671.011703910568
HeI  gamma  95  21973.268201977135
HeI  gamma  96  21303.86815643408
HeI  gamma  97  20661.386756494
HeI  gamma  98  20044.48429014427
HeI  gamma  99  19451.900272513034
HeI  gamma  100  18882.448032747794
HeI  gamma  101  18335.009719511825
HeI  gamma  102  17808.53168902715
HeI  gamma  103  17302.020243009712
HeI  gamma  104  16814.53768691446
HeI  gamma  105  16345.198681658105
HeI  gamma  106  15893.166864463918
HeI  gamma  107  15457.651716698028
HeI  gamma  108  15037.905658569245
HeI  gamma  109  14633.221352372608
HeI  gamma  110  14242.92919758436
HeI  gamma  111  13866.395002589199
HeI  gamma  112  13503.01781914866
HeI  gamma  113  13152.227926924252
HeI  gamma  114  12813.484956457878
HeI  gamma  115  12486.276139999856
HeI  gamma  116  12170.114680469793
HeI  gamma  117  11864.538229650103
HeI  gamma  118  11569.107467450092
HeI  gamma  119  11283.404774750808
HeI  gamma  120  11007.032992952678
HeI  gamma  121  10739.614263904632
HeI  gamma  122  10480.788944402513
HeI  gamma  123  10230.21458990586
HeI  gamma  124  9987.565002548308
HeI  gamma  125  9752.52933889961
HeI  gamma  126  9524.811273294632
HeI  gamma  127  9304.128212864533
HeI  gamma  128  9090.210560704532
HeI  gamma  129  8882.801023881728
HeI  gamma  130  8681.653963236333
HeI  gamma  131  8486.5347821583
HeI  gamma  132  8297.219351729818
HeI  gamma  133  8113.493469817899
HeI  gamma  134  7935.152351877643
HeI  gamma  135  7762.000151389915
HeI  gamma  136  7593.849508007351
HeI  gamma  137  7430.521121620055
HeI  gamma  138  7271.843350680785
HeI  gamma  139  7117.651833245402
HeI  gamma  140  6967.789129294187
HeI  gamma  141  6822.104382998516
HeI  gamma  142  6680.45300369051
HeI  gamma  143  6542.6963643783
HeI  gamma  144  6408.701516728709
HeI  gamma  145  6278.340921512388
HeI  gamma  146  6151.4921935739685
HeI  gamma  147  6028.037860452592
HeI  gamma  148  5907.865133836354
HeI  gamma  149  5790.865693087851
HeI  gamma  150  5676.935480128537
HeI  gamma  151  5565.974505015493
HeI  gamma  152  5457.886661587794
HeI  gamma  153  5352.579552599345
HeI  gamma  154  5249.964323792594
HeI  gamma  155  5149.955506402007
HeI  gamma  156  5052.470867608788
HeI  gamma  157  4957.431268497726
HeI  gamma  158  4864.760529095622
HeI  gamma  159  4774.385300096402
HeI  gamma  160  4686.23494090275
HeI  gamma  161  4600.24140363619
HeI  gamma  162  4516.339122789264
HeI  gamma  163  4434.464910212594
HeI  gamma  164  4354.5578551487915
HeI  gamma  165  4276.559229041666
HeI  gamma  166  4200.412394865796
HeI  gamma  167  4126.062720736302
HeI  gamma  168  4053.4574975728306
HeI  gamma  169  3982.5458606050106
HeI  gamma  170  3913.2787145190327
HeI  gamma  171  3845.608662055978
HeI  gamma  172  3779.4899358846037
HeI  gamma  173  3714.878333579631
HeI  gamma  174  3651.7311555483243
HeI  gamma  175  3590.007145754616
HeI  gamma  176  3529.666435100773
HeI  gamma  177  3470.6704873325803
HeI  gamma  178  3412.9820473426144
HeI  gamma  179  3356.565091752466
HeI  gamma  180  3301.3847816615885
HeI  gamma  181  3247.407417456489
HeI  gamma  182  3194.6003955797246
HeI  gamma  183  3142.9321671634975
HeI  gamma  184  3092.3721984381145
HeI  gamma  185  3042.890932829837
HeI  gamma  186  2994.459754667604
HeI  gamma  187  2947.050954422114
HeI  gamma  188  2900.6376954048724
HeI  gamma  189  2855.193981858747
HeI  gamma  190  2810.6946283745883
HeI  gamma  191  2767.11523057277
HeI  gamma  192  2724.4321369904515
HeI  gamma  193  2682.622422119696
HeI  gamma  194  2641.663860543224
HeI  gamma  195  2601.5349021180687
HeI  gamma  196  2562.2146481595473
HeI  gamma  197  2523.6828285802767
HeI  gamma  198  2485.919779941627
HeI  gamma  199  2448.9064243765206
HeI  gamma  200  2412.6242493451623
HeI  gamma  201  2377.0552881866315
HeI  gamma  202  2342.182101431475
HeI  gamma  203  2307.9877588417858
HeI  gamma  204  2274.45582214717
HeI  gamma  205  2241.5703284464817
HeI  gamma  206  2209.3157742463836
HeI  gamma  207  2177.6771001096176
HeI  gamma  208  2146.639675886633
HeI  gamma  209  2116.189286506045
HeI  gamma  210  2086.3121182999967
HeI  gamma  211  2056.9947458419815
HeI  gamma  212  2028.2241192757717
HeI  gamma  213  1999.9875521145295
HeI  gamma  214  1972.272709491084
HeI  gamma  215  1945.0675968402077
HeI  gamma  216  1918.3605489954707
HeI  gamma  217  1892.140219683423
