#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
NI  alpha  1  2467284485.08
NI  alpha  2  456904534.274
NI  alpha  3  159916586.996
NI  alpha  4  74018534.5523
NI  alpha  5  40207599.0161
NI  alpha  6  24243914.0635
NI  alpha  7  15735232.6854
NI  alpha  8  10788023.7259
NI  alpha  9  7716609.91218
NI  alpha  10  5709418.64315
NI  alpha  11  4342481.11087
NI  alpha  12  3379471.40735
NI  alpha  13  2681507.10853
NI  alpha  14  2163303.10105
NI  alpha  15  1770505.07031
NI  alpha  16  1467351.2833
NI  alpha  17  1229654.64818
NI  alpha  18  1040656.68009
NI  alpha  19  888495.79795
NI  alpha  20  764615.751233
NI  alpha  21  662738.909555
NI  alpha  22  578188.493433
NI  alpha  23  507431.784283
NI  alpha  24  447766.443588
NI  alpha  25  397101.408249
NI  alpha  26  353801.451041
NI  alpha  27  316575.32609
NI  alpha  28  284394.217383
NI  alpha  29  256431.55788
NI  alpha  30  232018.119381
NI  alpha  31  210608.148196
NI  alpha  32  191753.581662
NI  alpha  33  175084.239162
NI  alpha  34  160292.474138
NI  alpha  35  147121.187907
NI  alpha  36  135354.399002
NI  alpha  37  124809.771022
NI  alpha  38  115332.653015
NI  alpha  39  106791.296472
NI  alpha  40  99072.9938981
NI  alpha  41  92080.9439102
NI  alpha  42  85731.6926154
NI  alpha  43  79953.0347734
NI  alpha  44  74682.283839
NI  alpha  45  69864.8395193
NI  alpha  46  65452.9964952
NI  alpha  47  61404.9495756
NI  alpha  48  57683.95958
NI  alpha  49  54257.651317
NI  alpha  50  51097.4205804
NI  alpha  51  48177.9314819
NI  alpha  52  45476.6889277
NI  alpha  53  42973.6738326
NI  alpha  54  40651.0309036
NI  alpha  55  38492.8006189
NI  alpha  56  36484.6884878
NI  alpha  57  34613.8658578
NI  alpha  58  32868.7974973
NI  alpha  59  31239.0919727
NI  alpha  60  29715.3714846
NI  alpha  61  28289.1583607
NI  alpha  62  26952.7758473
NI  alpha  63  25699.2612018
NI  alpha  64  24522.2893996
NI  alpha  65  23416.1060159
NI  alpha  66  22375.4680618
NI  alpha  67  21395.5917287
NI  alpha  68  20472.1061464
