#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
NI  beta  1  2924189019.35
NI  beta  2  616821121.269
NI  beta  3  233935121.548
NI  beta  4  114226133.568
NI  beta  5  64451513.0796
NI  beta  6  39979146.7489
NI  beta  7  26523256.4113
NI  beta  8  18504633.6381
NI  beta  9  13426028.5553
NI  beta  10  10051899.754
NI  beta  11  7721952.51821
NI  beta  12  6060978.51587
NI  beta  13  4844810.20958
NI  beta  14  3933808.17136
NI  beta  15  3237856.35361
NI  beta  16  2697005.93148
NI  beta  17  2270311.32827
NI  beta  18  1929152.47804
NI  beta  19  1653111.54918
NI  beta  20  1427354.66079
NI  beta  21  1240927.40299
NI  beta  22  1085620.27772
NI  beta  23  955198.227871
NI  beta  24  844867.851837
NI  beta  25  750902.85929
NI  beta  26  670376.777131
NI  beta  27  600969.543473
NI  beta  28  540825.775263
NI  beta  29  488449.677261
NI  beta  30  442626.267578
NI  beta  31  402361.729858
NI  beta  32  366837.820824
NI  beta  33  335376.713301
NI  beta  34  307413.662045
NI  beta  35  282475.586908
NI  beta  36  260164.170023
NI  beta  37  240142.424037
NI  beta  38  222123.949488
NI  beta  39  205864.29037
NI  beta  40  191153.937808
NI  beta  41  177812.636526
NI  beta  42  165684.727389
NI  beta  43  154635.318612
NI  beta  44  144547.123358
NI  beta  45  135317.836014
NI  beta  46  126857.946071
NI  beta  47  119088.909156
NI  beta  48  111941.610897
NI  beta  49  105355.071897
NI  beta  50  99275.3520623
NI  beta  51  93654.6204096
NI  beta  52  88450.3627603
NI  beta  53  83624.7047362
NI  beta  54  79143.8315226
NI  beta  55  74977.4891068
NI  beta  56  71098.5543456
NI  beta  57  67482.6633551
NI  beta  58  64107.88947
NI  beta  59  60954.4634573
NI  beta  60  58004.5298454
NI  beta  61  55241.934208
NI  beta  62  52652.037049
NI  beta  63  50221.5506014
NI  beta  64  47938.3954155
NI  beta  65  45791.5740777
NI  beta  66  43771.0597906
NI  beta  67  41867.6978752
NI  beta  68  40073.1185346
NI  beta  69  38379.6594493
NI  beta  70  36780.2969767
NI  beta  71  35268.5848912
NI  beta  72  33838.5997504
